Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
PF02109	DAD family	pfam	family	IPR003038		
PF02114	Phosducin	pfam	domain	IPR024253		
PF02115	RHO protein GDP dissociation inhibitor	pfam	domain	IPR000406		
PF02121	Phosphatidylinositol transfer protein	pfam	family	IPR001666		
PF02126	Phosphotriesterase family	pfam	domain	IPR001559		
PF02127	Aminopeptidase I zinc metalloprotease (M18)	pfam	family	IPR001948		
PF02130	Endoribonuclease YbeY	pfam	family	IPR002036		
PF02135	TAZ zinc finger	pfam	family	IPR000197		
PF02136	Nuclear transport factor 2 (NTF2) domain	pfam	domain	IPR002075		
PF02137	Adenosine-deaminase (editase) domain	pfam	family	IPR002466		
PF02138	Beige/BEACH domain	pfam	family	IPR000409		
PF02140	Galactose binding lectin domain	pfam	domain	IPR000922		
PF02141	DENN (AEX-3) domain	pfam	family	IPR001194		
PF02142	MGS-like domain	pfam	domain	IPR011607		
PF02144	Repair protein Rad1/Rec1/Rad17	pfam	family	IPR003021		
PF02145	Rap/ran-GAP	pfam	family	IPR000331		
PF02146	Sir2 family	pfam	family	IPR003000		
PF02148	Zn-finger in ubiquitin-hydrolases and other protein	pfam	domain	IPR001607		
PF02149	Kinase associated domain 1	pfam	domain	IPR001772		
PF02150	RNA polymerases M/15 Kd subunit	pfam	domain	IPR001529		
PF02155	Glucocorticoid receptor	pfam	family	IPR001409		
PF02157	Mannose-6-phosphate receptor	pfam	family	IPR028927		
PF02158	Neuregulin intracellular region	pfam	unknown	IPR002154		
PF02159	Oestrogen receptor	pfam	family	IPR001292		
PF02161	Progesterone receptor	pfam	family	IPR000128		
PF02163	Peptidase family M50	pfam	family	IPR008915		
PF02165	Wilm's tumour protein	pfam	family	IPR000976		
PF02166	Androgen receptor	pfam	family	IPR001103		
PF02167	Cytochrome C1 family	pfam	family	IPR002326		
PF02170	PAZ domain	pfam	domain	IPR003100		
PF02171	Piwi domain	pfam	family	IPR003165		
PF02172	KIX domain	pfam	domain	IPR003101		
PF02173	pKID domain	pfam	family	IPR003102		
PF02174	PTB domain (IRS-1 type)	pfam	domain	IPR002404		
PF02176	TRAF-type zinc finger	pfam	family	IPR001293		
PF02177	Amyloid A4 N-terminal heparin-binding	pfam	domain	IPR015849		
PF02178	AT hook motif	pfam	conserved_site	IPR017956		
PF02179	BAG domain	pfam	family	IPR003103		
PF02180	Bcl-2 homology region 4	pfam	family	IPR003093		
PF02181	Formin Homology 2 Domain	pfam	family	IPR015425		
PF02182	SAD/SRA domain	pfam	domain	IPR003105		
PF02184	HAT (Half-A-TPR) repeat	pfam	repeat	IPR003107		
PF02185	Hr1 repeat	pfam	family	IPR011072		
PF02186	TFIIE beta subunit core domain	pfam	domain	IPR003166		
PF02187	Growth-Arrest-Specific Protein 2 Domain	pfam	family	IPR003108		
PF02188	GoLoco motif	pfam	conserved_site	IPR003109		
PF02189	Immunoreceptor tyrosine-based activation motif	pfam	conserved_site	IPR003110		
PF02190	"ATP-dependent protease La (LON) substrate-binding domain "	pfam	family	IPR003111		
PF02191	Olfactomedin-like domain	pfam	repeat	IPR003112		
PF02192	PI3-kinase family, p85-binding domain	pfam	family	IPR003113		
PF02194	PXA domain	pfam	family	IPR003114		
PF02195	ParB-like nuclease domain	pfam	family	IPR003115		
PF02196	Raf-like Ras-binding domain	pfam	domain	IPR003116		
PF02197	Regulatory subunit of type II PKA R-subunit	pfam	domain	IPR003117		
PF02198	Sterile alpha motif (SAM)/Pointed domain	pfam	domain	IPR003118		
PF02199	Saposin A-type domain	pfam	family	IPR003119		
PF02201	SWIB/MDM2 domain	pfam	domain	IPR003121		
PF02202	Tachykinin family	pfam	family	IPR008215		
PF02204	Vacuolar sorting protein 9 (VPS9) domain	pfam	family	IPR003123		
PF02205	WH2 motif	pfam	family	IPR003124		
PF02207	Putative zinc finger in N-recognin (UBR box)	pfam	family	IPR003126		
PF02208	Sorbin homologous domain	pfam	family	IPR003127		
PF02209	Villin headpiece domain	pfam	domain	IPR003128		
PF02210	Laminin G domain	pfam	domain	IPR001791		
PF02212	Dynamin GTPase effector domain	pfam	family	IPR003130		
PF02213	GYF domain	pfam	domain	IPR003169		
PF02214	BTB/POZ domain	pfam	domain	IPR003131		
PF02218	Repeat in HS1/Cortactin	pfam	repeat	IPR003134		
PF02219	Methylenetetrahydrofolate reductase	pfam	domain	IPR003171		
PF02221	ML domain	pfam	domain	IPR003172		
PF02223	Thymidylate kinase	pfam	domain	IPR039430		
PF02225	PA domain	pfam	family	IPR003137		
PF02229	Transcriptional Coactivator p15 (PC4)	pfam	domain	IPR003173		
PF02230	Phospholipase/Carboxylesterase	pfam	domain	IPR003140		
PF02233	NAD(P) transhydrogenase beta subunit	pfam	family	IPR034300		
PF02234	Cyclin-dependent kinase inhibitor	pfam	family	IPR003175		
PF02237	Biotin protein ligase C terminal domain	pfam	domain	IPR003142		
PF02238	Cytochrome c oxidase subunit VII	pfam	family	IPR039297		
PF02244	Carboxypeptidase activation peptide	pfam	domain	IPR003146		
PF02245	Methylpurine-DNA glycosylase (MPG)	pfam	domain	IPR003180		
PF02251	Proteasome activator pa28 alpha subunit	pfam	family	IPR003185		
PF02252	Proteasome activator pa28 beta subunit	pfam	family	IPR003186		
PF02254	TrkA-N domain	pfam	domain	IPR003148		
PF02256	Iron hydrogenase small subunit	pfam	domain	IPR003149		
PF02257	RFX DNA-binding domain	pfam	domain	IPR003150		
PF02259	FAT domain	pfam	repeat	IPR003151		
PF02260	FATC domain	pfam	family	IPR003152		
PF02262	CBL proto-oncogene N-terminal domain 1	pfam	domain	IPR003153		
PF02263	Guanylate-binding protein, N-terminal domain	pfam	domain	IPR015894		
PF02267	ADP-ribosyl cyclase	pfam	domain	IPR003193		
PF02268	Transcription initiation factor IIA, gamma subunit, helical domain	pfam	domain	IPR015872		
PF02269	Transcription initiation factor IID, 18kD subunit	pfam	domain	IPR003195		
PF02270	TFIIF, beta subunit HTH domain	pfam	domain	IPR040450		
PF02271	Ubiquinol-cytochrome C reductase complex 14kD subunit	pfam	family	IPR003197		
PF02272	DHHA1 domain	pfam	family	IPR003156		
PF02274	Arginine deiminase	pfam	family			
PF02275	Linear amide C-N hydrolases, choloylglycine hydrolase family	pfam	domain	IPR029132		
PF02284	Cytochrome c oxidase subunit Va	pfam	domain	IPR003204		
PF02285	Cytochrome oxidase c subunit VIII	pfam	family	IPR003205		
PF02290	Signal recognition particle 14kD protein	pfam	domain	IPR003210		
PF02291	Transcription initiation factor IID, 31kD subunit	pfam	domain	IPR003162		
PF02295	Adenosine deaminase z-alpha domain	pfam	domain	IPR042371		
PF02296	Alpha adaptin AP2, C-terminal domain	pfam	family	IPR003164		
PF02297	Cytochrome oxidase c subunit VIb	pfam	domain	IPR003213		
PF02301	HORMA domain	pfam	domain	IPR003511		
PF02310	B12 binding domain	pfam	domain	IPR006158		
PF02312	Core binding factor beta subunit	pfam	family	IPR003417		
PF02318	FYVE-type zinc finger	pfam	family	IPR041282		
PF02319	E2F/DP family winged-helix DNA-binding domain	pfam	domain	IPR003316		
PF02320	Ubiquinol-cytochrome C reductase hinge protein	pfam	family	IPR023184		
PF02330	Mitochondrial glycoprotein	pfam	domain	IPR003428		
PF02337	Retroviral GAG p10 protein	pfam	family	IPR003322		
PF02338	OTU-like cysteine protease	pfam	family	IPR003323		
PF02344	Myc leucine zipper domain	pfam	unknown	IPR003327		
PF02347	Glycine cleavage system P-protein	pfam	domain	IPR020581		
PF02348	Cytidylyltransferase	pfam	family	IPR003329		
PF02350	UDP-N-acetylglucosamine 2-epimerase	pfam	family	IPR003331		
PF02351	GDNF/GAS1 domain	pfam	domain	IPR016017		
PF02354	Latrophilin Cytoplasmic C-terminal region	pfam	family	IPR003334		
PF02359	Cell division protein 48 (CDC48), N-terminal domain	pfam	domain	IPR003338		
PF02366	"Dolichyl-phosphate-mannose-protein mannosyltransferase  "	pfam	family	IPR003342		
PF02368	Bacterial Ig-like domain (group 2)	pfam	domain	IPR003343		
PF02372	Interleukin 15	pfam	domain	IPR003443		
PF02373	JmjC domain, hydroxylase	pfam	domain	IPR003347		
PF02374	Anion-transporting ATPase	pfam	domain	IPR025723		
PF02375	jmjN domain	pfam	family	IPR003349		
PF02376	CUT domain	pfam	domain	IPR003350		
PF02377	Dishevelled specific domain	pfam	family	IPR003351		
PF02383	SacI homology domain	pfam	family	IPR002013		
PF02389	Cornifin (SPRR) family	pfam	unknown			
PF02390	"Putative methyltransferase "	pfam	family	IPR003358		
PF02391	MoaE protein	pfam	family	IPR003448		
PF02393	US22 like	pfam	family	IPR003360		
PF02394	Interleukin-1 propeptide	pfam	family	IPR003502		
PF02399	Origin of replication binding protein	pfam	family	IPR003450		
PF02403	Seryl-tRNA synthetase N-terminal domain	pfam	domain	IPR015866		
PF02404	Stem cell factor	pfam	domain	IPR003452		
PF02410	"Ribosomal silencing factor during starvation "	pfam	family			
PF02412	Thrombospondin type 3 repeat	pfam	domain	IPR003367		
PF02423	Ornithine cyclodeaminase/mu-crystallin family	pfam	family	IPR003462		
PF02434	Fringe-like	pfam	family	IPR003378		
PF02436	Conserved carboxylase domain	pfam	domain	IPR003379		
PF02437	SKI/SNO/DAC family	pfam	family	IPR003380		
PF02441	Flavoprotein	pfam	family	IPR003382		
PF02450	Lecithin:cholesterol acyltransferase	pfam	family	IPR003386		
PF02453	Reticulon	pfam	family	IPR003388		
PF02460	Patched family	pfam	family	IPR003392		
PF02463	RecF/RecN/SMC N terminal domain	pfam	domain	IPR003395		
PF02466	Tim17/Tim22/Tim23/Pmp24 family	pfam	family			
PF02469	Fasciclin domain	pfam	domain	IPR000782		
PF02475	Met-10+ like-protein	pfam	family	IPR030382		
PF02485	Core-2/I-Branching enzyme	pfam	family	IPR003406		
PF02487	CLN3 protein	pfam	family	IPR003492		
PF02489	Herpesvirus glycoprotein H main domain	pfam	domain			
PF02492	CobW/HypB/UreG, nucleotide-binding domain	pfam	domain	IPR003495		
PF02493	MORN repeat	pfam	repeat	IPR003409		
PF02494	HYR domain	pfam	domain	IPR003410		
PF02499	Probable DNA packing protein, C-terminus	pfam	domain	IPR003498		
PF02500	"Probable DNA packing protein, N-terminus "	pfam	family	IPR003499		
PF02513	Spin/Ssty Family	pfam	repeat	IPR003671		
PF02515	CoA-transferase family III	pfam	family	IPR003673		
PF02516	Oligosaccharyl transferase STT3 subunit	pfam	family	IPR003674		
PF02517	Type II CAAX prenyl endopeptidase Rce1-like	pfam	family	IPR003675		
PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	pfam	domain	IPR003594		
PF02525	Flavodoxin-like fold	pfam	domain	IPR003680		
PF02535	ZIP Zinc transporter	pfam	family	IPR003689		
PF02536	mTERF	pfam	family	IPR003690		
PF02538	Hydantoinase B/oxoprolinase	pfam	family	IPR003692		
PF02540	NAD synthase	pfam	domain	IPR022310		
PF02544	"3-oxo-5-alpha-steroid 4-dehydrogenase "	pfam	family	IPR001104		
PF02545	Maf-like protein	pfam	domain	IPR003697		
PF02567	Phenazine biosynthesis-like protein	pfam	family	IPR003719		
PF02574	Homocysteine S-methyltransferase	pfam	family	IPR003726		
PF02578	Multi-copper polyphenol oxidoreductase laccase	pfam	family	IPR003730		
PF02580	D-Tyr-tRNA(Tyr) deacylase	pfam	family	IPR003732		
PF02582	Uncharacterised ACR, YagE family COG1723	pfam	family	IPR003734		
PF02585	GlcNAc-PI de-N-acetylase	pfam	family	IPR003737		
PF02586	SOS response associated peptidase (SRAP)	pfam	family	IPR003738		
PF02594	Uncharacterised ACR, YggU family COG1872	pfam	domain	IPR003746		
PF02597	ThiS family	pfam	domain	IPR003749		
PF02598	Putative RNA methyltransferase	pfam	family	IPR003750		
PF02602	Uroporphyrinogen-III synthase HemD	pfam	family	IPR003754		
PF02607	B12 binding domain	pfam	domain	IPR003759		
PF02617	ATP-dependent Clp protease adaptor protein ClpS	pfam	family	IPR003769		
PF02628	Cytochrome oxidase assembly protein	pfam	family	IPR003780		
PF02629	CoA binding domain	pfam	domain	IPR003781		
PF02630	SCO1/SenC	pfam	family	IPR003782		
PF02636	Putative S-adenosyl-L-methionine-dependent methyltransferase	pfam	family	IPR003788		
PF02637	GatB domain	pfam	domain	IPR018027		
PF02661	Fic/DOC family	pfam	family	IPR003812		
PF02666	Phosphatidylserine decarboxylase	pfam	family	IPR003817		
PF02668	Taurine catabolism dioxygenase TauD, TfdA family	pfam	domain	IPR003819		
PF02671	Paired amphipathic helix repeat	pfam	repeat	IPR003822		
PF02676	Methyltransferase TYW3	pfam	family	IPR003827		
PF02678	Pirin	pfam	family	IPR003829		
PF02686	Glu-tRNAGln amidotransferase C subunit	pfam	family	IPR003837		
PF02689	Helicase	pfam	family	IPR003840		
PF02690	Na+/Pi-cotransporter	pfam	family	IPR003841		
PF02696	Protein adenylyltransferase SelO	pfam	family	IPR003846		
PF02709	N-terminal domain of galactosyltransferase	pfam	family	IPR027791		
PF02714	Calcium-dependent channel, 7TM region, putative phosphate	pfam	family	IPR003864		
PF02718	Herpesvirus UL31-like protein	pfam	family	IPR021152		
PF02724	CDC45-like protein	pfam	family	IPR003874		
PF02727	Copper amine oxidase, N2 domain	pfam	domain	IPR015800		
PF02728	Copper amine oxidase, N3 domain	pfam	domain	IPR015802		
PF02729	Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain	pfam	domain	IPR006132		
PF02731	SKIP/SNW domain	pfam	family	IPR004015		
PF02732	ERCC4 domain	pfam	domain	IPR006166		
PF02733	Dak1 domain	pfam	family	IPR004006		
PF02734	DAK2 domain	pfam	family	IPR004007		
PF02735	Ku70/Ku80 beta-barrel domain	pfam	domain	IPR006164		
PF02736	Myosin N-terminal SH3-like domain	pfam	domain	IPR004009		
PF02737	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain	pfam	domain	IPR006176		
PF02738	Molybdopterin-binding domain of aldehyde dehydrogenase	pfam	family	IPR008274		
PF02740	Colipase, C-terminal domain	pfam	domain	IPR017914		
PF02744	Galactose-1-phosphate uridyl transferase, C-terminal domain	pfam	domain	IPR005850		
PF02746	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain	pfam	domain	IPR013341		
PF02747	Proliferating cell nuclear antigen, C-terminal domain	pfam	domain	IPR022649		
PF02749	Quinolinate phosphoribosyl transferase, N-terminal domain	pfam	domain	IPR022412		
PF02750	Synapsin, ATP binding domain	pfam	domain	IPR020898		
PF02751	Transcription initiation factor IIA, gamma subunit	pfam	domain	IPR015871		
PF02752	Arrestin (or S-antigen), C-terminal domain	pfam	domain	IPR011022		
PF02755	RPEL repeat	pfam	unknown	IPR004018		
PF02758	PAAD/DAPIN/Pyrin domain	pfam	domain	IPR004020		
PF02759	RUN domain	pfam	family	IPR004012		
PF02760	HIN-200/IF120x domain	pfam	family	IPR004021		
PF02761	CBL proto-oncogene N-terminus, EF hand-like domain	pfam	domain	IPR014741		
PF02762	CBL proto-oncogene N-terminus, SH2-like domain	pfam	domain	IPR014742		
PF02765	Telomeric single stranded DNA binding POT1/CDC13	pfam	domain	IPR011564		
PF02769	AIR synthase related protein, C-terminal domain	pfam	domain	IPR010918		
PF02770	Acyl-CoA dehydrogenase, middle domain	pfam	domain	IPR006091		
PF02771	Acyl-CoA dehydrogenase, N-terminal domain	pfam	domain	IPR013786		
PF02772	S-adenosylmethionine synthetase, central domain	pfam	domain	IPR022629		
PF02773	S-adenosylmethionine synthetase, C-terminal domain	pfam	domain	IPR022630		
PF02775	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain	pfam	domain	IPR011766		
PF02776	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain	pfam	domain	IPR012001		
PF02777	Iron/manganese superoxide dismutases, C-terminal domain	pfam	domain	IPR019832		
PF02778	tRNA intron endonuclease, N-terminal domain	pfam	domain	IPR006678		
PF02779	Transketolase, pyrimidine binding domain	pfam	domain	IPR005475		
PF02780	Transketolase, C-terminal domain	pfam	domain	IPR033248		
PF02781	Glucose-6-phosphate dehydrogenase, C-terminal domain	pfam	domain	IPR022675		
PF02782	FGGY family of carbohydrate kinases, C-terminal domain	pfam	domain	IPR018485		
PF02784	Pyridoxal-dependent decarboxylase, pyridoxal binding domain	pfam	domain	IPR022644		
PF02785	Biotin carboxylase C-terminal domain	pfam	domain	IPR005482		
PF02786	Carbamoyl-phosphate synthase L chain, ATP binding domain	pfam	domain	IPR005479		
PF02787	Carbamoyl-phosphate synthetase large chain, oligomerisation domain	pfam	domain	IPR005480		
PF02789	Cytosol aminopeptidase family, N-terminal domain	pfam	domain	IPR008283		
PF02790	Cytochrome C oxidase subunit II, transmembrane domain	pfam	family	IPR011759		
PF02791	DDT domain	pfam	family	IPR018501		
PF02792	Mago nashi protein	pfam	family	IPR004023		
PF02793	Hormone receptor domain	pfam	family	IPR001879		
PF02798	Glutathione S-transferase, N-terminal domain	pfam	domain	IPR004045		
PF02799	Myristoyl-CoA:protein N-myristoyltransferase, C-terminal domain	pfam	domain	IPR022677		
PF02800	Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain	pfam	domain	IPR020829		
PF02801	Beta-ketoacyl synthase, C-terminal domain	pfam	domain	IPR014031		
PF02803	Thiolase, C-terminal domain	pfam	domain	IPR020617		
PF02806	Alpha amylase, C-terminal all-beta domain	pfam	domain	IPR006048		
PF02807	ATP:guanido phosphotransferase, N-terminal domain	pfam	domain	IPR022413		
PF02809	Ubiquitin interaction motif	pfam	conserved_site	IPR003903		
PF02812	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain	pfam	domain	IPR006097		
PF02815	MIR domain	pfam	domain	IPR016093		
PF02816	Alpha-kinase family	pfam	family	IPR004166		
PF02817	e3 binding domain	pfam	family	IPR004167		
PF02818	PPAK motif	pfam	conserved_site	IPR004168		
PF02820	mbt repeat	pfam	domain	IPR004092		
PF02822	Antistasin family	pfam	domain	IPR004094		
PF02823	ATP synthase, Delta/Epsilon chain, beta-sandwich domain	pfam	domain	IPR020546		
PF02824	TGS domain	pfam	domain	IPR004095		
PF02825	WWE domain	pfam	family	IPR004170		
PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	pfam	domain	IPR006140		
PF02827	cAMP-dependent protein kinase inhibitor	pfam	family	IPR004171		
PF02828	L27 domain	pfam	domain	IPR014775		
PF02833	DHHA2 domain	pfam	family	IPR004097		
PF02836	Glycosyl hydrolases family 2, TIM barrel domain	pfam	domain	IPR006103		
PF02837	Glycosyl hydrolases family 2, sugar binding domain	pfam	domain	IPR006104		
PF02840	Prp18 domain	pfam	family	IPR004098		
PF02841	Guanylate-binding protein, C-terminal domain	pfam	domain	IPR003191		
PF02843	Phosphoribosylglycinamide synthetase, C domain	pfam	domain	IPR020560		
PF02844	Phosphoribosylglycinamide synthetase, N domain	pfam	domain	IPR020562		
PF02845	CUE domain	pfam	domain	IPR003892		
PF02847	MA3 domain	pfam	repeat	IPR003891		
PF02852	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain	pfam	domain	IPR004099		
PF02854	MIF4G domain	pfam	repeat	IPR003890		
PF02862	DDHD domain	pfam	family	IPR004177		
PF02864	STAT protein, DNA binding domain	pfam	domain	IPR013801		
PF02865	STAT protein, protein interaction domain	pfam	domain	IPR013799		
PF02866	lactate/malate dehydrogenase, alpha/beta C-terminal domain	pfam	domain	IPR022383		
PF02867	Ribonucleotide reductase, barrel domain	pfam	family	IPR000788		
PF02870	6-O-methylguanine DNA methyltransferase, ribonuclease-like domain	pfam	domain	IPR008332		
PF02872	5'-nucleotidase, C-terminal domain	pfam	domain	IPR008334		
PF02874	ATP synthase alpha/beta family, beta-barrel domain	pfam	domain	IPR004100		
PF02877	Poly(ADP-ribose) polymerase, regulatory domain	pfam	domain	IPR004102		
PF02878	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I	pfam	domain	IPR005844		
PF02879	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II	pfam	domain	IPR005845		
PF02880	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III	pfam	domain	IPR005846		
PF02881	SRP54-type protein, helical bundle domain	pfam	domain	IPR013822		
PF02882	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain	pfam	domain	IPR020631		
PF02883	Adaptin C-terminal domain	pfam	domain	IPR008152		
PF02885	Glycosyl transferase family, helical bundle domain	pfam	domain	IPR017459		
PF02886	LBP / BPI / CETP family, C-terminal domain	pfam	domain	IPR001124		
PF02887	Pyruvate kinase, alpha/beta domain	pfam	domain	IPR015795		
PF02888	Calmodulin binding domain	pfam	family	IPR004178		
PF02889	Sec63 Brl domain	pfam	family	IPR004179		
PF02891	MIZ/SP-RING zinc finger	pfam	domain	IPR004181		
PF02892	BED zinc finger	pfam	domain	IPR003656		
PF02893	GRAM domain	pfam	domain	IPR004182		
PF02894	Oxidoreductase family, C-terminal alpha/beta domain	pfam	domain	IPR004104		
PF02897	Prolyl oligopeptidase, N-terminal beta-propeller domain	pfam	repeat	IPR023302		
PF02898	Nitric oxide synthase, oxygenase domain	pfam	domain	IPR004030		
PF02902	Ulp1 protease family, C-terminal catalytic domain	pfam	domain	IPR003653		
PF02906	Iron only hydrogenase large subunit, C-terminal domain	pfam	domain	IPR004108		
PF02910	Fumarate reductase flavoprotein C-term	pfam	domain	IPR015939		
PF02911	Formyl transferase, C-terminal domain	pfam	domain	IPR005793		
PF02913	FAD linked oxidases, C-terminal domain	pfam	domain	IPR004113		
PF02919	Eukaryotic DNA topoisomerase I, DNA binding fragment	pfam	family	IPR008336		
PF02921	Ubiquinol cytochrome reductase transmembrane region	pfam	family	IPR004192		
PF02922	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)	pfam	domain	IPR004193		
PF02926	THUMP domain	pfam	domain	IPR004114		
PF02928	C5HC2 zinc finger	pfam	domain	IPR004198		
PF02929	Beta galactosidase small chain	pfam	domain	IPR004199		
PF02931	Neurotransmitter-gated ion-channel ligand binding domain	pfam	family	IPR006202		
PF02932	Neurotransmitter-gated ion-channel transmembrane region	pfam	family	IPR006029		
PF02933	Cell division protein 48 (CDC48), domain 2	pfam	domain	IPR004201		
PF02934	GatB/GatE catalytic domain	pfam	domain	IPR006075		
PF02935	Cytochrome c oxidase subunit VIIc	pfam	family	IPR004202		
PF02936	Cytochrome c oxidase subunit IV	pfam	family	IPR004203		
PF02937	Cytochrome c oxidase subunit VIc	pfam	family	IPR034884		
PF02938	GAD domain	pfam	domain	IPR029351		
PF02939	UcrQ family	pfam	family	IPR004205		
PF02946	GTF2I-like repeat	pfam	family	IPR004212		
PF02947	"flt3 ligand "	pfam	domain	IPR004213		
PF02948	Amelogenin	pfam	family			
PF02953	Tim10/DDP family zinc finger	pfam	domain	IPR004217		
PF02961	Barrier to autointegration factor	pfam	domain	IPR004122		
PF02965	Vitamin B12 dependent methionine synthase, activation domain	pfam	domain	IPR004223		
PF02966	Mitosis protein DIM1	pfam	domain	IPR004123		
PF02969	TATA box binding protein associated factor (TAF)	pfam	domain	IPR004823		
PF02970	Tubulin binding cofactor A	pfam	domain	IPR004226		
PF02971	Formiminotransferase domain	pfam	domain	IPR013802		
PF02978	Signal peptide binding domain	pfam	domain	IPR004125		
PF02984	Cyclin, C-terminal domain	pfam	domain	IPR004367		
PF02985	HEAT repeat	pfam	repeat	IPR000357		
PF02988	Phospholipase A2 inhibitor	pfam	domain	IPR004126		
PF02990	Endomembrane protein 70	pfam	family	IPR004240		
PF02991	Autophagy protein Atg8 ubiquitin like	pfam	domain	IPR004241		
PF02994	L1 transposable element RBD-like domain	pfam	domain	IPR043636		
PF02996	Prefoldin subunit	pfam	unknown	IPR004127		
PF03002	Somatostatin/Cortistatin family	pfam	family	IPR018142		
PF03006	Haemolysin-III related	pfam	family	IPR004254		
PF03009	Glycerophosphoryl diester phosphodiesterase family	pfam	family	IPR030395		
PF03015	Male sterility protein	pfam	family	IPR033640		
PF03016	Exostosin family	pfam	family	IPR040911		
PF03020	LEM domain	pfam	domain	IPR003887		
PF03024	Folate receptor family	pfam	domain	IPR018143		
PF03025	Papillomavirus E5	pfam	family	IPR004270		
PF03028	"Dynein heavy chain region D6 P-loop domain "	pfam	domain	IPR004273		
PF03029	Conserved hypothetical ATP binding protein	pfam	domain	IPR004130		
PF03031	NLI interacting factor-like phosphatase	pfam	family	IPR004274		
PF03034	Phosphatidyl serine synthase	pfam	family	IPR004277		
PF03036	Perilipin family	pfam	family	IPR004279		
PF03038	UL95 family	pfam	family	IPR004280		
PF03039	Interleukin-12 alpha subunit	pfam	domain	IPR004281		
PF03043	Herpesvirus UL87 family	pfam	family	IPR004285		
PF03044	Herpesvirus UL16/UL94 family	pfam	family	IPR004286		
PF03045	DAN domain	pfam	domain	IPR004133		
PF03048	UL92 family	pfam	family	IPR004289		
PF03049	UL79 family	pfam	family	IPR004290		
PF03051	Peptidase C1-like family	pfam	family	IPR004134		
PF03054	tRNA methyl transferase	pfam	family			
PF03055	Retinal pigment epithelial membrane protein	pfam	family	IPR004294		
PF03061	Thioesterase superfamily	pfam	domain	IPR006683		
PF03062	MBOAT, membrane-bound O-acyltransferase family	pfam	family	IPR004299		
PF03064	HSV U79 / HCMV P34	pfam	family	IPR004138		
PF03066	Nucleoplasmin/nucleophosmin domain	pfam	domain	IPR024057		
PF03068	Protein-arginine deiminase (PAD)	pfam	family	IPR013530		
PF03071	GNT-I family	pfam	family	IPR004139		
PF03073	TspO/MBR family	pfam	family	IPR004307		
PF03074	Glutamate-cysteine ligase	pfam	family	IPR004308		
PF03079	ARD/ARD' family	pfam	domain	IPR004313		
PF03081	Exo70 exocyst complex subunit	pfam	family	IPR046364		
PF03083	Sugar efflux transporter for intercellular exchange	pfam	repeat	IPR004316		
PF03088	Strictosidine synthase	pfam	repeat	IPR018119		
PF03089	Recombination activating protein 2	pfam	repeat	IPR004321		
PF03091	CutA1 divalent ion tolerance protein	pfam	domain	IPR004323		
PF03095	Phosphotyrosyl phosphate activator (PTPA) protein	pfam	family	IPR004327		
PF03096	Ndr family	pfam	domain	IPR004142		
PF03097	BRO1-like domain	pfam	domain	IPR004328		
PF03098	Animal haem peroxidase	pfam	domain	IPR019791		
PF03099	Biotin/lipoate A/B protein ligase family	pfam	domain	IPR004143		
PF03102	NeuB family	pfam	domain	IPR013132		
PF03104	DNA polymerase family B, exonuclease domain	pfam	family	IPR006133		
PF03105	SPX domain	pfam	domain	IPR004331		
PF03109	ABC1 atypical kinase-like domain	pfam	domain	IPR004147		
PF03114	BAR domain	pfam	domain	IPR004148		
PF03117	UL49 family	pfam	family	IPR004339		
PF03119	NAD-dependent DNA ligase C4 zinc finger domain	pfam	domain	IPR004149		
PF03120	NAD-dependent DNA ligase OB-fold domain	pfam	domain	IPR004150		
PF03121	Herpesviridae UL52/UL70 DNA primase	pfam	family			
PF03122	Herpes virus major capsid protein	pfam	family	IPR000912		
PF03124	EXS family	pfam	family	IPR004342		
PF03126	Plus-3 domain	pfam	domain	IPR004343		
PF03127	GAT domain	pfam	domain	IPR004152		
PF03128	CXCXC repeat	pfam	repeat	IPR004153		
PF03129	Anticodon binding domain	pfam	domain	IPR004154		
PF03131	bZIP Maf transcription factor	pfam	unknown	IPR004826		
PF03133	Tubulin-tyrosine ligase family	pfam	family	IPR004344		
PF03134	TB2/DP1, HVA22 family	pfam	family	IPR004345		
PF03137	Organic Anion Transporter Polypeptide (OATP) family	pfam	family	IPR004156		
PF03142	Chitin synthase	pfam	family			
PF03143	Elongation factor Tu C-terminal domain	pfam	domain	IPR004160		
PF03144	Elongation factor Tu domain 2	pfam	domain	IPR004161		
PF03145	Seven in absentia protein family	pfam	family	IPR018121		
PF03146	Agrin NtA domain	pfam	domain	IPR004850		
