id,pathwayName,M
R-HSA-379401,"Dopamine clearance from the synaptic cleft",1
R-HSA-379716,"Cytosolic tRNA aminoacylation",24
R-HSA-379726,"Mitochondrial tRNA aminoacylation",21
R-HSA-380095,"Tachykinin receptors bind tachykinins",5
R-HSA-380108,"Chemokine receptors bind chemokines",57
R-HSA-380259,"Loss of Nlp from mitotic centrosomes",69
R-HSA-380270,"Recruitment of mitotic centrosome proteins and complexes",81
R-HSA-380284,"Loss of proteins required for interphase microtubule organization from the centrosome",69
R-HSA-380320,"Recruitment of NuMA to mitotic centrosomes",95
R-HSA-380612,"Metabolism of serotonin",2
R-HSA-380615,"Serotonin clearance from the synaptic cleft",1
R-HSA-380972,"Energy dependent regulation of mTOR by LKB1-AMPK",29
R-HSA-380994,"ATF4 activates genes in response to endoplasmic reticulum stress",27
R-HSA-381033,"ATF6 (ATF6-alpha) activates chaperones",4
R-HSA-381038,"XBP1(S) activates chaperone genes",48
R-HSA-381042,"PERK regulates gene expression",6
R-HSA-381070,"IRE1alpha activates chaperones",3
R-HSA-381183,"ATF6 (ATF6-alpha) activates chaperone genes",10
R-HSA-381340,"Transcriptional regulation of white adipocyte differentiation",84
R-HSA-381426,"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",124
R-HSA-3814836,"Glycogen storage disease type XV (GYG1)",2
R-HSA-381676,"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion",43
R-HSA-381753,"Olfactory Signaling Pathway",432
R-HSA-381771,"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",20
R-HSA-382556,"ABC-family proteins mediated transport",81
R-HSA-3828062,"Glycogen storage disease type 0 (muscle GYS1)",2
R-HSA-383280,"Nuclear Receptor transcription pathway",53
R-HSA-3858516,"Glycogen storage disease type 0 (liver GYS2)",2
R-HSA-3878781,"Glycogen storage disease type IV (GBE1)",3
R-HSA-388479,"Vasopressin-like receptors",6
R-HSA-388841,"Costimulation by the CD28 family",11
R-HSA-388844,"Receptor-type tyrosine-protein phosphatases",20
R-HSA-389356,"CD28 co-stimulation",9
R-HSA-389357,"CD28 dependent PI3K/Akt signaling",22
R-HSA-389359,"CD28 dependent Vav1 pathway",12
R-HSA-389397,"Orexin and neuropeptides FF and QRFP bind to their respective receptors",8
R-HSA-389513,"CTLA4 inhibitory signaling",21
R-HSA-389542,"NADPH regeneration",1
R-HSA-389599,"Alpha-oxidation of phytanate",6
R-HSA-389661,"Glyoxylate metabolism and glycine degradation",29
R-HSA-389887,"Beta-oxidation of pristanoyl-CoA",9
R-HSA-3899300,"SUMOylation of transcription cofactors",44
R-HSA-389948,"PD-1 signaling",30
R-HSA-389957,"Prefoldin mediated transfer of substrate to CCT/TriC",28
R-HSA-389960,"Formation of tubulin folding intermediates by CCT/TriC",26
R-HSA-389977,"Post-chaperonin tubulin folding pathway",23
R-HSA-390247,"Beta-oxidation of very long chain fatty acids",11
R-HSA-390450,"Folding of actin by CCT/TriC",10
R-HSA-390471,"Association of TriC/CCT with target proteins during biosynthesis",39
R-HSA-390522,"Striated Muscle Contraction",35
R-HSA-390648,"Muscarinic acetylcholine receptors",5
R-HSA-390650,"Histamine receptors",4
R-HSA-390651,"Dopamine receptors",5
R-HSA-390666,"Serotonin receptors",12
R-HSA-390696,Adrenoceptors,9
R-HSA-390918,"Peroxisomal lipid metabolism",5
R-HSA-391160,"Signal regulatory protein family interactions",16
R-HSA-391903,"Eicosanoid ligand-binding receptors",1
R-HSA-391906,"Leukotriene receptors",5
R-HSA-391908,"Prostanoid ligand receptors",9
R-HSA-392023,"Adrenaline signalling through Alpha-2 adrenergic receptor",3
R-HSA-392154,"Nitric oxide stimulates guanylate cyclase",7
R-HSA-392170,"ADP signalling through P2Y purinoceptor 12",22
R-HSA-392451,"G beta:gamma signalling through PI3Kgamma",25
R-HSA-392517,"Rap1 signalling",16
R-HSA-392851,"Prostacyclin signalling through prostacyclin receptor",20
R-HSA-3928662,"EPHB-mediated forward signaling",42
R-HSA-3928663,"EPHA-mediated growth cone collapse",29
R-HSA-3928664,"Ephrin signaling",19
R-HSA-3928665,"EPH-ephrin mediated repulsion of cells",51
R-HSA-399710,"Activation of AMPA receptors",4
R-HSA-399719,"Trafficking of AMPA receptors",17
R-HSA-399954,"Sema3A PAK dependent Axon repulsion",16
R-HSA-399955,"SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion",14
R-HSA-399956,"CRMPs in Sema3A signaling",16
R-HSA-399997,"Acetylcholine regulates insulin secretion",10
R-HSA-400042,"Adrenaline,noradrenaline inhibits insulin secretion",28
R-HSA-400206,"Regulation of lipid metabolism by PPARalpha",20
R-HSA-400253,"Circadian Clock",57
R-HSA-400511,"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",13
R-HSA-4043911,"Defective PMM2 causes PMM2-CDG (CDG-1a)",1
R-HSA-4043916,"Defective MPI causes MPI-CDG (CDG-1b)",1
R-HSA-4085001,"Sialic acid metabolism",33
R-HSA-4085011,"Defective GNE causes sialuria, Nonaka myopathy and inclusion body myopathy 2",1
R-HSA-4085023,"Defective GFPT1 causes CMSTA1",1
R-HSA-4085377,"SUMOylation of SUMOylation proteins",35
R-HSA-4086398,"Ca2+ pathway",60
R-HSA-4086400,"PCP/CE pathway",21
R-HSA-4090294,"SUMOylation of intracellular receptors",30
R-HSA-416476,"G alpha (q) signalling events",175
R-HSA-416482,"G alpha (12/13) signalling events",80
R-HSA-416550,"Sema4D mediated inhibition of cell attachment and migration",8
R-HSA-416572,"Sema4D induced cell migration and growth-cone collapse",20
R-HSA-416700,"Other semaphorin interactions",19
R-HSA-416993,"Trafficking of GluR2-containing AMPA receptors",17
R-HSA-417957,"P2Y receptors",12
R-HSA-417973,"Adenosine P1 receptors",4
R-HSA-418217,"G beta:gamma signalling through PLC beta",20
R-HSA-418346,"Platelet homeostasis",8
R-HSA-418359,"Reduction of cytosolic Ca++ levels",12
R-HSA-418457,"cGMP effects",16
R-HSA-418555,"G alpha (s) signalling events",147
R-HSA-418592,"ADP signalling through P2Y purinoceptor 1",25
R-HSA-418594,"G alpha (i) signalling events",260
R-HSA-418597,"G alpha (z) signalling events",49
R-HSA-418885,"DCC mediated attractive signaling",14
R-HSA-418886,"Netrin mediated repulsion signals",8
R-HSA-418889,"Caspase activation via Dependence Receptors in the absence of ligand",10
R-HSA-418890,"Role of second messengers in netrin-1 signaling",10
R-HSA-418990,"Adherens junctions interactions",32
R-HSA-419037,"NCAM1 interactions",42
R-HSA-419408,"Lysosphingolipid and LPA receptors",14
R-HSA-419771,Opsins,9
R-HSA-419812,"Calcitonin-like ligand receptors",11
R-HSA-420029,"Tight junction interactions",30
R-HSA-420092,"Glucagon-type ligand receptors",34
R-HSA-420499,"Class C/3 (Metabotropic glutamate/pheromone receptors)",40
R-HSA-420597,"Nectin/Necl trans heterodimerization",7
R-HSA-422085,"Synthesis, secretion, and deacylation of Ghrelin",19
R-HSA-422356,"Regulation of insulin secretion",28
R-HSA-425366,"Transport of bile salts and organic acids, metal ions and amine compounds",11
R-HSA-425381,"Bicarbonate transporters",10
R-HSA-425393,"Transport of inorganic cations/anions and amino acids/oligopeptides",8
R-HSA-425397,"Transport of vitamins, nucleosides, and related molecules",3
R-HSA-425410,"Metal ion SLC transporters",9
R-HSA-425561,"Sodium/Calcium exchangers",11
R-HSA-425986,"Sodium/Proton exchangers",9
R-HSA-426048,"Arachidonate production from DAG",5
R-HSA-426117,"Cation-coupled Chloride cotransporters",7
R-HSA-426486,"Small interfering RNA (siRNA) biogenesis",9
R-HSA-426496,"Post-transcriptional silencing by small RNAs",7
R-HSA-427359,"SIRT1 negatively regulates rRNA expression",37
R-HSA-427389,"ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression",45
R-HSA-427413,"NoRC negatively regulates rRNA expression",75
R-HSA-427589,"Type II Na+/Pi cotransporters",3
R-HSA-427601,"Multifunctional anion exchangers",9
R-HSA-427652,"Sodium-coupled phosphate cotransporters",2
R-HSA-427975,"Proton/oligopeptide cotransporters",4
R-HSA-428359,"Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA",3
R-HSA-428540,"Activation of RAC1",13
R-HSA-428542,"Regulation of commissural axon pathfinding by SLIT and ROBO",10
R-HSA-428543,"Inactivation of CDC42 and RAC1",8
R-HSA-428559,"Proton-coupled neutral amino acid transporters",2
R-HSA-428643,"Organic anion transporters",10
R-HSA-428890,"Role of ABL in ROBO-SLIT signaling",8
R-HSA-428930,"Thromboxane signalling through TP receptor",24
R-HSA-429593,"Inositol transporters",3
R-HSA-429947,"Deadenylation of mRNA",25
R-HSA-429958,""{""mRNA decay by 3' to 5' exoribonuclease""}"",16
R-HSA-430039,""{""mRNA decay by 5' to 3' exoribonuclease""}"",15
R-HSA-430116,"GP1b-IX-V activation signalling",12
R-HSA-432030,"Transport of glycerol from adipocytes to the liver by Aquaporins",2
R-HSA-432040,"Vasopressin regulates renal water homeostasis via Aquaporins",44
R-HSA-432047,"Passive transport by Aquaporins",13
R-HSA-432142,"Platelet sensitization by LDL",17
R-HSA-432720,"Lysosome Vesicle Biogenesis",35
R-HSA-432722,"Golgi Associated Vesicle Biogenesis",56
R-HSA-433137,"Sodium-coupled sulphate, di- and tri-carboxylate transporters",5
R-HSA-433692,"Proton-coupled monocarboxylate transport",6
R-HSA-4341670,"Defective NEU1 causes sialidosis",3
R-HSA-434313,"Intracellular metabolism of fatty acids regulates insulin secretion",3
R-HSA-434316,"Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion",8
R-HSA-435368,"Zinc efflux and compartmentalization by the SLC30 family",7
R-HSA-437239,"Recycling pathway of L1",49
R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",21
R-HSA-4411364,"Binding of TCF/LEF:CTNNB1 to target gene promoters",8
R-HSA-4419969,"Depolymerisation of the Nuclear Lamina",15
R-HSA-4420097,"VEGFA-VEGFR2 Pathway",62
R-HSA-4420332,"Defective B3GALT6 causes EDSP2 and SEMDJL1",20
R-HSA-442380,"Zinc influx into cells by the SLC39 gene family",10
R-HSA-442660,"Na+/Cl- dependent neurotransmitter transporters",19
R-HSA-442720,"CREB1 phosphorylation through the activation of Adenylate Cyclase",12
R-HSA-442729,"CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde",8
R-HSA-442742,"CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling",5
R-HSA-442982,"Ras activation upon Ca2+ influx through NMDA receptor",20
R-HSA-444209,"Free fatty acid receptors",5
R-HSA-444257,"RSK activation",7
R-HSA-444411,"Rhesus glycoproteins mediate ammonium transport",3
R-HSA-444473,"Formyl peptide receptors bind formyl peptides and many other ligands",9
R-HSA-444821,"Relaxin receptors",8
R-HSA-445095,"Interaction between L1 and Ankyrins",31
R-HSA-445144,"Signal transduction by L1",21
R-HSA-445355,"Smooth Muscle Contraction",39
R-HSA-445989,"TAK1 activates NFkB by phosphorylation and activation of IKKs complex",32
R-HSA-446107,"Type I hemidesmosome assembly",11
R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",15
R-HSA-446199,"Synthesis of Dolichyl-phosphate",6
R-HSA-446203,"Asparagine N-linked glycosylation",11
R-HSA-446205,"Synthesis of GDP-mannose",5
R-HSA-446210,"Synthesis of UDP-N-acetyl-glucosamine",8
R-HSA-446343,"Localization of the PINCH-ILK-PARVIN complex to focal adhesions",4
R-HSA-446353,"Cell-extracellular matrix interactions",12
R-HSA-446388,"Regulation of cytoskeletal remodeling and cell spreading by IPP complex components",8
R-HSA-447038,"NrCAM interactions",7
R-HSA-447041,"CHL1 interactions",9
R-HSA-447043,"Neurofascin interactions",7
R-HSA-448424,"Interleukin-17 signaling",8
R-HSA-448706,"Interleukin-1 processing",8
R-HSA-449836,"Other interleukin signaling",24
R-HSA-450302,"activated TAK1 mediates p38 MAPK activation",23
R-HSA-450321,"JNK (c-Jun kinases) phosphorylation and activation mediated by activated human TAK1",22
R-HSA-450341,"Activation of the AP-1 family of transcription factors",10
R-HSA-450385,"Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA",17
R-HSA-450408,"AUF1 (hnRNP D0) binds and destabilizes mRNA",55
R-HSA-450513,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",17
R-HSA-450520,"HuR (ELAVL1) binds and stabilizes mRNA",8
R-HSA-450604,"KSRP (KHSRP) binds and destabilizes mRNA",17
R-HSA-451307,"Activation of Na-permeable kainate receptors",2
R-HSA-451308,"Activation of Ca-permeable Kainate Receptor",10
R-HSA-451927,"Interleukin-2 family signaling",2
R-HSA-452723,"Transcriptional regulation of pluripotent stem cells",17
R-HSA-4549349,"Defective ALG2 causes ALG2-CDG (CDG-1i)",1
R-HSA-4549356,"Defective DPAGT1 causes DPAGT1-CDG (CDG-1j) and CMSTA2",1
R-HSA-4549380,"Defective ALG1 causes ALG1-CDG (CDG-1k)",1
R-HSA-4551295,"Defective ALG11 causes ALG11-CDG (CDG-1p)",1
R-HSA-4551638,"SUMOylation of chromatin organization proteins",58
R-HSA-456926,"Thrombin signalling through proteinase activated receptors (PARs)",32
R-HSA-4570464,"SUMOylation of RNA binding proteins",47
R-HSA-4570571,"Defective RFT1 causes RFT1-CDG (CDG-1n)",1
R-HSA-4608870,"Asymmetric localization of PCP proteins",64
R-HSA-4615885,"SUMOylation of DNA replication proteins",46
R-HSA-4641257,"Degradation of AXIN",55
R-HSA-4641258,"Degradation of DVL",57
R-HSA-4641262,"Disassembly of the destruction complex and recruitment of AXIN to the membrane",31
R-HSA-4641263,"Regulation of FZD by ubiquitination",21
R-HSA-4641265,"Repression of WNT target genes",12
R-HSA-4655427,"SUMOylation of DNA methylation proteins",16
R-HSA-4687000,"Defective MPDU1 causes MPDU1-CDG (CDG-1f)",1
R-HSA-4717374,"Defective DPM1 causes DPM1-CDG (CDG-1e)",3
R-HSA-4719360,"Defective DPM3 causes DPM3-CDG (CDG-1o)",3
R-HSA-4719377,"Defective DPM2 causes DPM2-CDG (CDG-1u)",3
R-HSA-4720454,"Defective ALG9 causes ALG9-CDG (CDG-1l)",1
R-HSA-4720475,"Defective ALG3 causes ALG3-CDG (CDG-1d)",1
R-HSA-4720489,"Defective ALG12 causes ALG12-CDG (CDG-1g)",1
R-HSA-4724289,"Defective ALG6 causes ALG6-CDG (CDG-1c)",1
R-HSA-4724325,"Defective ALG8 causes ALG8-CDG (CDG-1h)",1
R-HSA-4755510,"SUMOylation of immune response proteins",11
R-HSA-4755579,"Defective SRD5A3 causes SRD5A3-CDG (CDG-1q) and KHRZ",1
R-HSA-4755583,"Defective DOLK causes DOLK-CDG (CDG-1m)",1
R-HSA-4755609,"Defective DHDDS causes retinitis pigmentosa 59",2
R-HSA-4793950,"Defective MAN1B1 causes MRT15",1
R-HSA-4793952,"Defective MGAT2 causes MGAT2-CDG (CDG-2a)",1
R-HSA-4793953,"Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)",1
R-HSA-4793954,"Defective MOGS causes MOGS-CDG (CDG-2b)",1
R-HSA-480985,"Synthesis of dolichyl-phosphate-glucose",2
R-HSA-499943,"Interconversion of nucleotide di- and triphosphates",30
R-HSA-500657,"Presynaptic function of Kainate receptors",21
R-HSA-500753,"Pyrimidine biosynthesis",3
R-HSA-5083625,"Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC)",19
R-HSA-5083627,"Defective LARGE causes MDDGA6 and MDDGB6",2
R-HSA-5083628,"Defective POMGNT1 causes MDDGA3, MDDGB3 and MDDGC3",2
R-HSA-5083629,"Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2",3
R-HSA-5083630,"Defective LFNG causes SCDO3",5
R-HSA-5083632,"Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS)",20
R-HSA-5083633,"Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1",3
R-HSA-5083635,"Defective B3GALTL causes Peters-plus syndrome (PpS)",38
R-HSA-5083636,"Defective GALNT12 causes colorectal cancer 1 (CRCS1)",19
R-HSA-5099900,"WNT5A-dependent internalization of FZD4",15
R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",24
R-HSA-5140745,"WNT5A-dependent internalization of FZD2, FZD5 and ROR2",13
R-HSA-5173105,"O-linked glycosylation",10
R-HSA-5173214,"O-glycosylation of TSR domain-containing proteins",39
R-HSA-5205685,"PINK1-PRKN Mediated Mitophagy",22
R-HSA-5210891,"Uptake and function of anthrax toxins",11
R-HSA-5213460,"RIPK1-mediated regulated necrosis",22
R-HSA-5218900,"CASP8 activity is inhibited",11
R-HSA-5218920,"VEGFR2 mediated vascular permeability",27
R-HSA-5218921,"VEGFR2 mediated cell proliferation",19
R-HSA-5221030,"TET1,2,3 and TDG demethylate DNA",4
R-HSA-5223345,"Miscellaneous transport and binding events",26
R-HSA-5250924,"B-WICH complex positively regulates rRNA expression",60
R-HSA-5250955,"Toxicity of botulinum toxin type D (BoNT/D)",5
R-HSA-5250958,"Toxicity of botulinum toxin type B (BoNT/B)",3
R-HSA-5250968,"Toxicity of botulinum toxin type A (BoNT/A)",4
R-HSA-5250971,"Toxicity of botulinum toxin type C (BoNT/C)",3
R-HSA-5250981,"Toxicity of botulinum toxin type F (BoNT/F)",5
R-HSA-5250982,"Toxicity of tetanus toxin (TeNT)",1
R-HSA-5250989,"Toxicity of botulinum toxin type G (BoNT/G)",3
R-HSA-5250992,"Toxicity of botulinum toxin type E (BoNT/E)",3
R-HSA-525793,Myogenesis,29
R-HSA-5263617,"Metabolism of ingested MeSeO2H into MeSeH",1
R-HSA-532668,"N-glycan trimming in the ER and Calnexin/Calreticulin cycle",16
R-HSA-5334118,"DNA methylation",34
R-HSA-5336415,"Uptake and function of diphtheria toxin",6
R-HSA-5339700,""{""TCF7L2 mutants don't bind CTBP""}"",3
R-HSA-5339716,"Misspliced GSK3beta mutants stabilize beta-catenin",15
R-HSA-5339717,"Misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling",6
R-HSA-5340573,"WNT ligand secretion is abrogated by the PORCN inhibitor LGK974",1
R-HSA-5340588,"RNF mutants show enhanced WNT signaling and proliferation",8
R-HSA-5357609,"Glycogen storage disease type II (GAA)",2
R-HSA-5357786,"TNFR1-induced proapoptotic signaling",13
R-HSA-5357905,"Regulation of TNFR1 signaling",35
R-HSA-5357956,"TNFR1-induced NFkappaB signaling pathway",30
R-HSA-5358346,"Hedgehog ligand biogenesis",60
R-HSA-5358493,"Synthesis of diphthamide-EEF2",8
R-HSA-5358565,"Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)",14
R-HSA-5358606,"Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)",14
R-HSA-5358747,""{""S33 mutants of beta-catenin aren't phosphorylated""}"",15
R-HSA-5358749,""{""S37 mutants of beta-catenin aren't phosphorylated""}"",15
R-HSA-5358751,""{""S45 mutants of beta-catenin aren't phosphorylated""}"",15
R-HSA-5358752,""{""T41 mutants of beta-catenin aren't phosphorylated""}"",15
R-HSA-5362517,"Signaling by Retinoic Acid",21
R-HSA-5362768,""{""Hh mutants that don't undergo autocatalytic processing are degraded by ERAD""}"",56
R-HSA-5362798,"Release of Hh-Np from the secreting cell",8
R-HSA-5365859,"RA biosynthesis pathway",22
R-HSA-5368286,"Mitochondrial translation initiation",88
R-HSA-5368598,"Negative regulation of TCF-dependent signaling by DVL-interacting proteins",5
R-HSA-5389840,"Mitochondrial translation elongation",88
R-HSA-5419276,"Mitochondrial translation termination",88
R-HSA-5423646,"Aflatoxin activation and detoxification",20
R-HSA-5467333,"APC truncation mutants are not K63 polyubiquitinated",1
R-HSA-5467337,"APC truncation mutants have impaired AXIN binding",14
R-HSA-5467340,"AXIN missense mutants destabilize the destruction complex",14
R-HSA-5467348,"Truncations of AMER1 destabilize the destruction complex",14
R-HSA-549127,"Organic cation transport",10
R-HSA-5545483,"Defective Mismatch Repair Associated With MLH1",2
R-HSA-5545619,"XAV939 inhibits tankyrase, stabilizing AXIN",2
R-HSA-5576886,"Phase 4 - resting membrane potential",19
R-HSA-5576890,"Phase 3 - rapid repolarisation",8
R-HSA-5576892,"Phase 0 - rapid depolarisation",32
R-HSA-5576893,"Phase 2 - plateau phase",15
R-HSA-5576894,"Phase 1 - inactivation of fast Na+ channels",7
R-HSA-5578749,"Transcriptional regulation by small RNAs",76
R-HSA-5578768,"Physiological factors",12
R-HSA-5578775,"Ion homeostasis",54
R-HSA-5578995,"Defective TPMT causes Thiopurine S-methyltransferase deficiency (TPMT deficiency)",1
R-HSA-5578996,"Defective CYP27A1 causes Cerebrotendinous xanthomatosis (CTX)",1
R-HSA-5578997,"Defective AHCY causes Hypermethioninemia with S-adenosylhomocysteine hydrolase deficiency (HMAHCHD)",1
R-HSA-5578998,"Defective OPLAH causes 5-oxoprolinase deficiency (OPLAHD)",1
R-HSA-5578999,"Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD)",2
R-HSA-5579000,"Defective CYP1B1 causes Glaucoma",1
R-HSA-5579002,"Defective UGT1A1 causes hyperbilirubinemia",1
R-HSA-5579004,"Defective CYP26C1 causes Focal facial dermal dysplasia 4 (FFDD4)",1
R-HSA-5579005,"Defective CYP4F22 causes Ichthyosis, congenital, autosomal recessive 5 (ARCI5)",1
R-HSA-5579006,"Defective GSS causes Glutathione synthetase deficiency (GSS deficiency)",1
R-HSA-5579007,"Defective ACY1 causes encephalopathy",1
R-HSA-5579009,"Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency)",1
R-HSA-5579010,"Defective CYP24A1 causes Hypercalcemia, infantile (HCAI)",1
R-HSA-5579011,"Defective CYP2U1 causes Spastic paraplegia 56, autosomal recessive (SPG56)",1
R-HSA-5579012,"Defective MAOA causes Brunner syndrome (BRUNS)",1
R-HSA-5579013,"Defective CYP7B1 causes Spastic paraplegia 5A, autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3)",1
R-HSA-5579014,"Defective CYP27B1 causes Rickets vitamin D-dependent 1A (VDDR1A)",1
R-HSA-5579015,"Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA)",1
R-HSA-5579016,"Defective UGT1A4 causes hyperbilirubinemia",1
R-HSA-5579017,"Defective CYP11B1 causes Adrenal hyperplasia 4 (AH4)",1
R-HSA-5579019,"Defective FMO3 causes Trimethylaminuria (TMAU)",1
R-HSA-5579020,"Defective SLC35D1 causes Schneckenbecken dysplasia (SCHBCKD)",1
R-HSA-5579021,"Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3)",1
R-HSA-5579022,"Defective GGT1 causes Glutathionuria (GLUTH)",1
R-HSA-5579024,"Defective MAT1A causes Methionine adenosyltransferase deficiency (MATD)",1
R-HSA-5579026,"Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)",4
R-HSA-5579027,"Defective CYP2R1 causes Rickets vitamin D-dependent 1B (VDDR1B)",1
R-HSA-5579028,"Defective CYP17A1 causes Adrenal hyperplasia 5 (AH5)",1
R-HSA-5579030,"Defective CYP19A1 causes Aromatase excess syndrome (AEXS)",1
R-HSA-5579031,"Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD)",2
R-HSA-5579032,"Defective TBXAS1 causes Ghosal hematodiaphyseal dysplasia (GHDD)",1
R-HSA-5601884,"PIWI-interacting RNA (piRNA) biogenesis",29
R-HSA-5602410,"TLR3 deficiency - HSE",1
R-HSA-5602415,"UNC93B1 deficiency - HSE",2
R-HSA-5602498,"MyD88 deficiency (TLR2/4)",10
R-HSA-5602566,"TICAM1 deficiency - HSE",2
R-HSA-5602571,"TRAF3 deficiency - HSE",3
R-HSA-5602636,"IKBKB deficiency causes SCID",3
R-HSA-5602680,"MyD88 deficiency (TLR5)",3
R-HSA-5603027,"IKBKG deficiency causes anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID) (via TLR)",3
R-HSA-5603029,"IkBA variant leads to EDA-ID",7
R-HSA-5603037,"IRAK4 deficiency (TLR5)",5
R-HSA-5603041,"IRAK4 deficiency (TLR2/4)",11
R-HSA-5607761,"Dectin-1 mediated noncanonical NF-kB signaling",60
R-HSA-5607763,"CLEC7A (Dectin-1) induces NFAT activation",11
R-HSA-5607764,"CLEC7A (Dectin-1) signaling",79
R-HSA-5609974,"Defective PGM1 causes PGM1-CDG (CDG1t)",1
R-HSA-5609976,"Defective GALK1 can cause Galactosemia II (GALCT2)",1
R-HSA-5609977,"Defective GALE can cause Epimerase-deficiency galactosemia (EDG)",1
R-HSA-5609978,"Defective GALT can cause Galactosemia",1
R-HSA-561048,"Organic anion transport",5
R-HSA-5610780,"Degradation of GLI1 by the proteasome",60
R-HSA-5610783,"Degradation of GLI2 by the proteasome",60
R-HSA-5610785,"GLI3 is processed to GLI3R by the proteasome",60
R-HSA-5610787,""{""Hedgehog 'off' state""}"",57
R-HSA-5617472,"Activation of anterior HOX genes in hindbrain development during early embryogenesis",91
R-HSA-5617833,"Cilium Assembly",21
R-HSA-5619035,"Defective SLC17A5 causes Salla disease (SD) and ISSD",1
R-HSA-5619036,"Defective SLC24A5 causes oculocutaneous albinism 6 (OCA6)",1
R-HSA-5619037,"Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)",1
R-HSA-5619039,"Defective SLC12A6 causes agenesis of the corpus callosum, with peripheral neuropathy (ACCPN)",1
R-HSA-5619040,"Defective SLC34A1 causes hypophosphatemic nephrolithiasis/osteoporosis 1 (NPHLOP1)",1
R-HSA-5619041,"Defective SLC36A2 causes iminoglycinuria (IG) and hyperglycinuria (HG)",1
R-HSA-5619042,"Defective RHAG causes regulator type Rh-null hemolytic anemia (RHN)",1
R-HSA-5619043,"Defective SLC2A1 causes GLUT1 deficiency syndrome 1 (GLUT1DS1)",1
R-HSA-5619044,"Defective SLC6A19 causes Hartnup disorder (HND)",1
R-HSA-5619045,"Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM)",1
R-HSA-5619046,"Defective SLC26A4 causes Pendred syndrome (PDS)",1
R-HSA-5619047,"Defective SLC2A9 causes hypouricemia renal 2 (RHUC2)",1
R-HSA-5619048,"Defective SLC11A2 causes hypochromic microcytic anemia, with iron overload 1 (AHMIO1)",1
R-HSA-5619049,"Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages)",2
R-HSA-5619050,"Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4), distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)",1
R-HSA-5619052,"Defective SLC9A9 causes autism 16 (AUTS16)",1
R-HSA-5619053,"Defective SLC22A5 causes systemic primary carnitine deficiency (CDSP)",1
R-HSA-5619054,"Defective SLC4A4 causes renal tubular acidosis, proximal, with ocular abnormalities and mental retardation (pRTA-OA)",1
R-HSA-5619055,"Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI)",1
R-HSA-5619056,"Defective HK1 causes hexokinase deficiency (HK deficiency)",1
R-HSA-5619058,"Defective SLCO1B3 causes hyperbilirubinemia, Rotor type (HBLRR)",1
R-HSA-5619060,"Defective CP causes aceruloplasminemia (ACERULOP)",2
R-HSA-5619061,"Defective SLC33A1 causes spastic paraplegia 42 (SPG42)",1
R-HSA-5619062,"Defective SLC1A3 causes episodic ataxia 6 (EA6)",1
R-HSA-5619063,"Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS)",1
