DepMap_ID,cell_line_name,stripped_cell_line_name,CCLE_Name,alias,COSMICID,sex,source,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,default_growth_pattern,model_manipulation,model_manipulation_details,patient_id,parent_depmap_id,Cellosaurus_NCIt_disease,Cellosaurus_NCIt_id,Cellosaurus_issues
ACH-000295,EM-2,EM2,EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906855.0,Female,DSMZ,CVCL_1196,901.0,bone_marrow,,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",5,SIDM01047,,blood,CML,blast_crisis,,,,,PT-PfwDZx,,"Childhood chronic myelogenous leukemia, BCR-ABL1 positive",C7320,
ACH-000298,NCI-H2029,NCIH2029,NCIH2029_LUNG,,688011.0,Female,ATCC,CVCL_1516,2106.0,lymph_node,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),69,SIDM00735,,lung,SCLC,,,,,,PT-2tJBcj,,Lung small cell carcinoma,C4917,
ACH-000301,LAMA-84,LAMA84,LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907783.0,Female,DSMZ,CVCL_0388,709.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",29,SIDM00346,,blood,CML,blast_crisis,,2D: adherent,,,PT-qTtBxS,,"Chronic myelogenous leukemia, BCR-ABL1 positive",C3174,
ACH-000303,SNU-5,SNU5,SNU5_STOMACH,,908445.0,Female,ATCC,CVCL_0078,28.0,ascites,Metastasis,Gastric Cancer,Adenocarcinoma,33,SIDM01144,,gastric,gastric_adenocarcinoma,,,,,,PT-7cPLvN,,Gastric adenocarcinoma,C4004,
ACH-000304,WM-115,WM115,WM115_SKIN,,909784.0,Female,ATCC,CVCL_0040,1000.0,skin,Metastasis,Skin Cancer,Melanoma,55,SIDM01000,,skin,melanoma,,,2D: adherent,,,PT-JAyPtz,,Melanoma,C3224,"The reported STR profile from Wistar of this cell line was changed at one point between February 2016 when we retrieved them and entered them in the Cellosaurus and May 2018. The major changes were: CSF1PO: 11,12->12, D18S51: 17->17,21 and D8S1179: 8,13->13,15"
ACH-000305,EC-GI-10,ECGI10,ECGI10_OESOPHAGUS,,753555.0,Male,RIKEN,CVCL_1187,2138.0,lymph_node,,Esophageal Cancer,Squamous Cell Carcinoma,65,SIDM00278,,esophagus,esophagus_squamous,,,,,,PT-iltdpC,,Esophageal squamous cell carcinoma,C4024,
ACH-000308,EFO-21,EFO21,EFO21_OVARY,,911905.0,Female,DSMZ,CVCL_0029,303.0,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, clear cell",56,SIDM01052,,ovary,ovary_adenocarcinoma,clear_cell,,2D: adherent,,,PT-cdCVJ4,,Ovarian serous cystadenocarcinoma,C7978,
ACH-000309,SK-LU-1,SKLU1,SKLU1_LUNG,,909721.0,Female,ATCC,CVCL_0629,233.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",60,SIDM01108,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-9oyPuO,,Lung adenocarcinoma,C3512,
ACH-000311,NCI-H2122,NCIH2122,NCIH2122_LUNG,,722046.0,Female,ATCC,CVCL_1531,1015.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",46,SIDM00702,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: suspension,,,PT-6IoG5q,,Lung adenocarcinoma,C3512,
ACH-000315,KARPAS-422,KARPAS422,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907274.0,Female,DSMZ,CVCL_1325,1973.0,pleural_effusion,Metastasis,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),73,SIDM01008,,lymphocyte,non_hodgkin_lymphoma,DLBCL,,,,,PT-lrPA2x,,Diffuse large B-cell lymphoma germinal center B-cell type,C36080,
ACH-000318,TE-10,TE10,TE10_OESOPHAGUS,,753622.0,Male,RIKEN,CVCL_1760,1561.0,oesophagus,Primary,Esophageal Cancer,Squamous Cell Carcinoma,58,SIDM00349,,esophagus,esophagus_squamous,,,,,,PT-8hgOdH,,Esophageal squamous cell carcinoma,C4024,
ACH-000319,MPP 89,MPP89,MPP89_PLEURA,,908150.0,Male,ICLC,CVCL_1427,2255.0,pleural_effusion,,Lung Cancer,Mesothelioma,67,SIDM00222,,lung,mesothelioma,,,,,,PT-5z2CJx,,Pleural epithelioid mesothelioma,C45662,
ACH-000320,PSN1,PSN1,PSN1_PANCREAS,GR-M,910546.0,Male,ECACC,CVCL_1644,560.0,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",36,SIDM00469,,pancreas,exocrine,exocrine_adenocarcinoma,,2D: adherent,,,PT-tXqEg0,,Pancreatic adenocarcinoma,C8294,
ACH-000322,HT-144,HT144,HT144_SKIN,,907067.0,Male,ATCC,CVCL_0318,1193.0,skin,Metastasis,Skin Cancer,Melanoma,29,SIDM00695,,skin,melanoma,,,2D: adherent,,,PT-czDcsE,,Melanoma,C3224,
ACH-000323,42-MG-BA,42MGBA,42MGBA_CENTRAL_NERVOUS_SYSTEM,,687561.0,Male,DSMZ,CVCL_1798,1465.0,central_nervous_system,Primary,Brain Cancer,Astrocytoma,63,SIDM00982,,central_nervous_system,glioma,astrocytoma,,2D: adherent,,,PT-PE7kNG,,Glioblastoma,C3058,
ACH-000326,JURL-MK1,JURLMK1,JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1327771.0,Male,DSMZ,CVCL_2086,1807.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",73,SIDM01015,,blood,CML,blast_crisis,,,,,PT-mEKuqA,,"Chronic myelogenous leukemia, BCR-ABL1 positive",C3174,
ACH-000327,NCI-H1395,NCIH1395,NCIH1395_LUNG,,684681.0,Female,ATCC,CVCL_1467,1826.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",55,SIDM00644,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-oKf5lW,,Lung adenocarcinoma,C3512,
ACH-000329,CCF-STTG1,CCFSTTG1,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,,906823.0,Female,ATCC,CVCL_1118,876.0,central_nervous_system,Primary,Brain Cancer,Astrocytoma,68,SIDM00131,,central_nervous_system,glioma,astrocytoma,,2D: adherent,,,PT-GKdkIC,,Astrocytoma,C60781,
ACH-000330,EFM-19,EFM19,EFM19_BREAST,,906851.0,Female,DSMZ,CVCL_0253,1786.0,pleural_effusion,Metastasis,Breast Cancer,Breast Ductal Carcinoma,50,SIDM01056,,breast,breast_ductal_carcinoma,ERpos_HER2neg,luminal,,,,PT-ykXL80,,Breast ductal carcinoma,C4017,
ACH-000332,YAPC,YAPC,YAPC_PANCREAS,,909904.0,Male,DSMZ,CVCL_1794,895.0,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",43,SIDM00411,,pancreas,exocrine,exocrine_adenocarcinoma,,2D: adherent,,,PT-Lio3jT,,Pancreatic carcinoma,C3850,
ACH-000334,DB,DB,DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906832.0,Male,ATCC,CVCL_1168,1185.0,ascites,Metastasis,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),45,SIDM00886,,lymphocyte,non_hodgkin_lymphoma,DLBCL,,2D: suspension,,,PT-mgfMcU,,Diffuse large B-cell lymphoma germinal center B-cell type,C36080,
ACH-000335,MSTO-211H,MSTO211H,MSTO211H_PLEURA,,908152.0,Male,ATCC,CVCL_1430,209.0,pleural_effusion,Metastasis,Lung Cancer,Mesothelioma,62,SIDM00640,,lung,mesothelioma,,,2D: adherent,,,PT-MFqmhR,,Pleural biphasic mesothelioma,C45665,
ACH-000336,OCI-AML3,OCIAML3,OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1290455.0,Male,DSMZ,CVCL_1844,355.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)",57,SIDM00462,,blood,AML,M4,,,,,PT-0F4qCF,,Adult acute myeloid leukemia,C9154,
ACH-000337,NCI-H3122,NCIH3122,NCIH3122_LUNG,,1240190.0,Male,Academic lab,CVCL_5160,918.0,lung,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00137,,lung,NSCLC,NSCLC_adenocarcinoma,,,,,PT-0fXDWz,,Lung adenocarcinoma,C3512,
ACH-000338,SR-786,SR786,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SR,905965.0,Male,DSMZ,CVCL_1711,794.0,pleural_effusion,Primary,Lymphoma,"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",11,SIDM00096,,lymphocyte,non_hodgkin_lymphoma,t_cell_ALCL,,,,,PT-khOMVk,,"Anaplastic large cell lymphoma, ALK-positive",C37193,Removed from DepMap;
ACH-000341,SK-N-FI,SKNFI,SKNFI_AUTONOMIC_GANGLIA,,688087.0,Male,ATCC,CVCL_1702,227.0,bone_marrow,Metastasis,Neuroblastoma,,11,SIDM01099,,peripheral_nervous_system,neuroblastoma,,,2D: adherent,,,PT-I4N9IW,,Neuroblastoma,C3270,
ACH-000343,NCI-H522,NCIH522,NCIH522_LUNG,,905944.0,Male,ATCC,CVCL_1567,1224.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",58,SIDM00116,,lung,NSCLC,NSCLC_adenocarcinoma,,,,,PT-6ukZx4,,Lung adenocarcinoma,C3512,
ACH-000345,KP-N-RT-BM-1,KPNRTBM1,KPNRTBM1_AUTONOMIC_GANGLIA,,924189.0,Female,HSRRB,CVCL_1339,852.0,bone_marrow,Metastasis,Neuroblastoma,,1,SIDM00557,,peripheral_nervous_system,neuroblastoma,,MYCN_amp,2D: adherent,,,PT-LZIxuV,,Adrenal gland neuroblastoma,C4827,
ACH-000346,JVM-3,JVM3,JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907270.0,Male,DSMZ,CVCL_1320,1632.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Chronic Lymphoblastic Leukemia (CLL), B-cell",73,SIDM01012,,blood,CLL,b_cell,,,,,PT-Qpiidf,,B-cell prolymphocytic leukemia,C4753,
ACH-000347,QGP-1,QGP1,QGP1_PANCREAS,,1298534.0,Male,HSRRB,CVCL_3143,469.0,pancreas,Primary,Pancreatic Cancer,Somatostatinoma,61,SIDM00360,,pancreas,endocrine,somatostatinoma,,2D: adherent,,,PT-J6GNwJ,,Pancreatic somatostatinoma,C95595,
ACH-000348,RPMI-7951,RPMI7951,RPMI7951_SKIN,,910903.0,Female,ATCC,CVCL_1666,1909.0,lymph_node,Metastasis,Skin Cancer,Melanoma,18,SIDM01087,,skin,melanoma,,,2D: adherent,,,PT-xMEDHc,,Melanoma,C3224,
ACH-000349,HCC1500,HCC1500,HCC1500_BREAST,,1303900.0,Female,ATCC,CVCL_1254,653.0,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,32,SIDM00879,,breast,breast_ductal_carcinoma,ERpos_HER2neg,luminal,2D: adherent,,,PT-nuy7MI,,Breast ductal carcinoma,C4017,
ACH-000350,COLO-678,COLO678,COLO678_LARGE_INTESTINE,,910689.0,Male,DSMZ,CVCL_1129,2148.0,lymph_node,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,69,SIDM00957,,colorectal,colorectal_adenocarcinoma,,,2D: adherent,,,PT-j0XD5z,,Colon carcinoma,C4910,
ACH-000351,MKN1,MKN1,MKN1_STOMACH,,908138.0,Male,HSRRB,CVCL_1415,1647.0,lymph_node,Metastasis,Gastric Cancer,Adenocarcinoma,72,SIDM00271,,gastric,gastric_adenocarcinoma,,,,,,PT-jfdGU1,,Gastric adenosquamous carcinoma,C5474,
ACH-000352,HCC1428,HCC1428,HCC1428_BREAST,,1290905.0,Female,ATCC,CVCL_1252,1567.0,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,49,SIDM00881,,breast,breast_carcinoma,ERpos_HER2neg,luminal,,,,PT-jBpXJh,,Breast adenocarcinoma,C5214,
ACH-000353,TE-15,TE15,TE15_OESOPHAGUS,,753614.0,Female,RIKEN,CVCL_1763,575.0,oesophagus,Primary,Esophageal Cancer,Squamous Cell Carcinoma,58,SIDM00249,,esophagus,esophagus_squamous,,,,,,PT-h9Imcs,,Esophageal squamous cell carcinoma,C4024,
ACH-000354,Capan-1,CAPAN1,CAPAN1_PANCREAS,,753624.0,Male,ATCC,CVCL_0237,641.0,liver,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",40,SIDM00934,,pancreas,exocrine,exocrine_adenocarcinoma,,2D: adherent,,,PT-MDCOET,,Pancreatic ductal adenocarcinoma,C9120,
ACH-000355,NCI-H82,NCIH82,NCIH82_LUNG,,688031.0,Male,ATCC,CVCL_1591,1545.0,pleural_effusion,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),41,SIDM01131,,lung,SCLC,,,2D: adherent,,,PT-TQn0DO,,Lung small cell carcinoma,C4917,
ACH-000356,MKN-45,MKN45,MKN45_STOMACH,,925340.0,Female,HSRRB,CVCL_0434,1542.0,liver,Metastasis,Gastric Cancer,Adenocarcinoma,62,SIDM00247,,gastric,gastric_adenocarcinoma,diffuse_gastric,,,,,PT-cE9wYI,,Gastric adenocarcinoma,C4004,Was indicated not to have a TP53 mutation in PubMed=1370612 and PubMed=15900046
ACH-000357,JeKo-1,JEKO1,JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1327765.0,Female,DSMZ,CVCL_1865,2118.0,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Non-Hodgkins, Mantle Cell",78,SIDM01038,,lymphocyte,non_hodgkin_lymphoma,b_cell_mantle_cell,,2D: suspension,,,PT-97FBgP,,Mantle cell lymphoma,C4337,
ACH-000358,NCI-H69,NCIH69,NCIH69_LUNG,,688027.0,Male,ATCC,CVCL_1579,1016.0,pleural_effusion,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),55,SIDM01121,,lung,SCLC,,,,,,PT-XQlkPK,,Lung small cell carcinoma,C4917,
ACH-000359,MG-63,MG63,MG63_BONE,,908131.0,Male,ATCC,CVCL_0426,2170.0,bone,Primary,Bone Cancer,Osteosarcoma,14,SIDM00525,,bone,osteosarcoma,,,2D: adherent,,,PT-qWqYVi,,Osteosarcoma,C9145,The reported STR profile from CLS of this cell line was changed in June 2019. Seven conflicts with other sources were resolved
ACH-000360,NCI-H508,NCIH508,NCIH508_LARGE_INTESTINE,,908442.0,Male,ATCC,CVCL_1564,35.0,abdomen,Metastasis,Colon/Colorectal Cancer,Caecum Adenocarcinoma,55,SIDM00777,,colorectal,caecum_adenocarcinoma,,,,,,PT-M0lnCb,,Cecum adenocarcinoma,C5543,
ACH-000361,SK-HEP-1,SKHEP1,SKHEP1_LIVER,,909719.0,Male,ATCC,CVCL_0525,874.0,ascites,Metastasis,Liver Cancer,Hepatocellular Carcinoma,52,SIDM01110,,liver,hepatocellular_carcinoma,,,2D: adherent,,,PT-sPLV6L,,Liver and intrahepatic bile duct epithelial neoplasm,C7106,Misclassified. Originally described as originating from an adenocarcinoma of liver and thus classified as hepatocellular carcinoma. Later studies show that it most probably has arisen from endothelial cells (PubMed=1371504; PubMed=31938418).
ACH-000362,MOLM-13,MOLM13,MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330947.0,Male,DSMZ,CVCL_2119,747.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,Acute Myelogenous Leukemia (AML),20,SIDM00437,,blood,AML,,,2D: suspension,,,PT-H3wdRq,,Adult acute myeloid leukemia,C9154,
ACH-000363,SK-MM-2,SKMM2,SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,753612.0,Male,DSMZ,CVCL_1699,1003.0,haematopoietic_and_lymphoid_tissue,Primary,Myeloma,Multiple Myeloma,54,SIDM00391,,plasma_cell,multiple_myeloma,,,,,,PT-35DpVF,,Plasma cell myeloma,C3242,
ACH-000364,U-2 OS,U2OS,U2OS_BONE,"U2-OS, U-2 OS",909776.0,Female,ATCC,CVCL_0042,1145.0,bone,Primary,Bone Cancer,Osteosarcoma,15,SIDM01191,,bone,osteosarcoma,,,2D: adherent,,,PT-WN1oZd,,Osteosarcoma,C9145,
ACH-000365,SU-DHL-4,SUDHL4,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1331035.0,Male,DSMZ,CVCL_0539,1450.0,pleural_effusion,Metastasis,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),38,SIDM00405,,lymphocyte,non_hodgkin_lymphoma,DLBCL,,2D: suspension,,,PT-I24dRR,,Diffuse large B-cell lymphoma germinal center B-cell type,C36080,
ACH-000366,SK-N-DZ,SKNDZ,SKNDZ_AUTONOMIC_GANGLIA,,688086.0,Female,ATCC,CVCL_1701,867.0,bone_marrow,Metastasis,Neuroblastoma,,2,SIDM01100,,peripheral_nervous_system,neuroblastoma,,MYCN_amp,2D: adherent,,,PT-lIgcxS,,Neuroblastoma,C3270,
ACH-000367,NCI-H226,NCIH226,NCIH226_LUNG,,905941.0,Male,ATCC,CVCL_1544,1221.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",,SIDM00139,,lung,NSCLC,NSCLC_squamous,,,,,PT-hfcpvz,,Pleural epithelioid mesothelioma,C45662,"Indicated to have a TP53 p.Arg158Leu (c.473G>T) mutation according to PubMed=1311061, but no TP53 mutation detected according to PubMed=20557307, CCLE and Cosmic-CLP"
ACH-000369,MOLM-16,MOLM16,MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330948.0,Female,DSMZ,CVCL_2120,1229.0,haematopoietic_and_lymphoid_tissue,,Leukemia,Acute Myelogenous Leukemia (AML),77,SIDM00435,,blood,AML,,,2D: suspension,,,PT-sUmz7V,,Adult acute myeloid leukemia,C9154,
ACH-000371,RL,RL,RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910861.0,Male,ATCC,CVCL_1660,1273.0,ascites,,Lymphoma,"B-cell, Non-Hodgkins",52,SIDM01089,,lymphocyte,non_hodgkin_lymphoma,b_cell,,2D: suspension,,,PT-B4jW32,,Diffuse large B-cell lymphoma,C8851,
ACH-000372,P12-ICHIKAWA,P12ICHIKAWA,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909251.0,Male,DSMZ,CVCL_1630,2153.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",7,SIDM00463,,blood,ALL,t_cell,,,,,PT-n3wTBx,,Childhood T acute lymphoblastic leukemia,C7953,
ACH-000373,SKM-1,SKM1,SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909722.0,Male,HSRRB,CVCL_0098,304.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,Acute Myelogenous Leukemia (AML),76,SIDM00380,,blood,AML,,,2D: suspension,,,PT-8qF7hQ,,Adult acute myeloid leukemia,C9154,TP53 mutation indicated incorrectly as being at p.Tyr327His (c.981T>C) in PubMed=8136267
ACH-000374,HCC1143,HCC1143,HCC1143_BREAST,,749710.0,Female,ATCC,CVCL_1245,1316.0,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,52,SIDM00866,,breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_A,2D: adherent,,,PT-UPBMOO,,Breast ductal carcinoma,C4017,
ACH-000375,G-402,G402,G402_SOFT_TISSUE,,907298.0,Female,ATCC,CVCL_1221,1089.0,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,0,SIDM00855,,kidney,,,,,,,PT-U7nXm3,,Kidney neoplasm,C3150,"This cell line is said to originate from a 'renal leiomyoblastoma'. This is an antiquated/imprecise terminology that can not be assigned to a precise cancer type. As there is no information on the exact origin of this cell line, except that it was deposited by Peebles P.T at ATCC, we have assigned it to the generic 'kidney neoplasm' of NCIt"
ACH-000376,SF-295,SF295,SF295_CENTRAL_NERVOUS_SYSTEM,,905985.0,Female,NCI/DCTD,CVCL_1690,1164.0,central_nervous_system,Primary,Brain Cancer,Glioblastoma,67,SIDM00084,,central_nervous_system,glioma,glioblastoma,,2D: adherent,,,PT-O9gP17,,Glioblastoma,C3058,
ACH-000378,NCI-H647,NCIH647,NCIH647_LUNG,,1240191.0,Male,ATCC,CVCL_1574,955.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma",56,SIDM01125,,lung,NSCLC,NSCLC_adenosquamous,,2D: adherent,,,PT-svCGFs,,Lung adenosquamous carcinoma,C9133,
ACH-000379,NCI-H1781,NCIH1781,NCIH1781_LUNG,,1298350.0,Female,ATCC,CVCL_1494,2228.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",66,SIDM00754,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-ZMox9l,,Minimally invasive lung adenocarcinoma,C2923,
ACH-000380,KMS-12-BM,KMS12BM,KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907281.0,Female,DSMZ,CVCL_1334,2087.0,bone_marrow,Primary,Myeloma,Multiple Myeloma,64,SIDM01020,,plasma_cell,multiple_myeloma,,,2D: suspension,,,PT-n47XwC,,Plasma cell myeloma,C3242,
ACH-000381,T84,T84,T84_LARGE_INTESTINE,,909761.0,Male,ATCC,CVCL_0555,997.0,lung,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,72,SIDM00782,,colorectal,colorectal_adenocarcinoma,,,2D: adherent,,,PT-3aeu41,,Colon adenocarcinoma,C4349,
ACH-000383,OE33,OE33,OE33_OESOPHAGUS,,910549.0,Female,HPACC,CVCL_0471,1554.0,oesophagus,Primary,Esophageal Cancer,Adenocarcinoma,73,SIDM00477,,esophagus,esophagus_adenocarcinoma,,,2D: adherent,,,PT-MSH6ZN,,Barrett adenocarcinoma,C7027,
ACH-000384,SW 780,SW780,SW780_URINARY_TRACT,,687457.0,Female,ATCC,CVCL_1728,2039.0,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,80,SIDM01160,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,,2D: adherent,,,PT-9PFG4H,,Bladder carcinoma,C4912,
ACH-000386,KG-1,KG1,KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907278.0,Male,ATCC,CVCL_0374,193.0,bone_marrow,Primary,Leukemia,Acute Myelogenous Leukemia (AML),59,SIDM00785,,blood,AML,,,2D: suspension,,,PT-7cCzYA,,Adult acute myeloid leukemia,C9154,
ACH-000389,H4,H4,H4_CENTRAL_NERVOUS_SYSTEM,,907042.0,Male,ATCC,CVCL_1239,1244.0,central_nervous_system,Primary,Brain Cancer,Glioma,37,SIDM00852,,central_nervous_system,glioma,,,2D: adherent,,,PT-9RF4Fl,,Astrocytoma,C60781,
ACH-000391,MHH-ES-1,MHHES1,MHHES1_BONE,,908134.0,Male,DSMZ,CVCL_1411,339.0,ascites,Metastasis,Bone Cancer,Ewings Sarcoma,12,SIDM00386,,bone,Ewing_sarcoma,,EWS_FLI,2D: adherent,,,PT-APr9xS,,Ewing sarcoma,C4817,
ACH-000392,Calu-3,CALU3,CALU3_LUNG,,687777.0,Male,ATCC,CVCL_0609,219.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",25,SIDM00922,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-v3MIz8,,Lung adenocarcinoma,C3512,
ACH-000394,NCI-H2081,NCIH2081,NCIH2081_LUNG,,908480.0,Female,ATCC,CVCL_1522,914.0,pleural_effusion,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),59,SIDM00710,,lung,SCLC,,,2D: suspension,,,PT-PzvfS6,,Lung small cell carcinoma,C4917,
ACH-000395,NCI-H520,NCIH520,NCIH520_LUNG,,908443.0,Male,ATCC,CVCL_1566,2200.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",,SIDM01130,,lung,NSCLC,NSCLC_squamous,,2D: adherent,,,PT-mQfWto,,Lung squamous cell carcinoma,C3493,
ACH-000396,J82,J82,J82_URINARY_TRACT,,753566.0,Male,ATCC,CVCL_0359,1232.0,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,58,SIDM00693,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,,2D: adherent,,,PT-jGS2bl,,Bladder carcinoma,C4912,
ACH-000399,NCI-H2196,NCIH2196,NCIH2196_LUNG,,908481.0,Male,ATCC,CVCL_1539,916.0,bone_marrow,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),67,SIDM00731,,lung,SCLC,,,2D: adherent,,,PT-FplxWn,,Lung small cell carcinoma,C4917,
ACH-000400,SK-CO-1,SKCO1,SKCO1_LARGE_INTESTINE,,909718.0,Male,ATCC,CVCL_0626,40.0,ascites,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,65,SIDM01096,,colorectal,colorectal_adenocarcinoma,,,2D: adherent,,,PT-cPXTdY,,Colon adenocarcinoma,C4349,
ACH-000401,COLO-800,COLO800,COLO800_SKIN,,906813.0,Male,ATCC,CVCL_1135,21.0,skin,Metastasis,Skin Cancer,Melanoma,14,SIDM00515,,skin,melanoma,,,,,,PT-hf4hbl,,Cutaneous melanoma,C3510,
ACH-000403,NCI-H747,NCIH747,NCIH747_LARGE_INTESTINE,,908457.0,Male,ATCC,CVCL_1587,573.0,large_intestine,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,69,SIDM00778,,colorectal,colorectal_adenocarcinoma,,,2D: adherent,,,PT-cabct5,,Cecum adenocarcinoma,C5543,
ACH-000408,TE-5,TE5,TE5_OESOPHAGUS,,735784.0,Female,RIKEN,CVCL_1764,576.0,oesophagus,,Esophageal Cancer,Squamous Cell Carcinoma,73,SIDM00347,,esophagus,esophagus_squamous,,,,,,PT-Tt9e9T,,Esophageal squamous cell carcinoma,C4024,
ACH-000410,Saos-2,SAOS2,SAOS2_BONE,,909707.0,Female,ATCC,CVCL_0548,399.0,bone,Primary,Bone Cancer,Osteosarcoma,11,SIDM01084,,bone,osteosarcoma,,,2D: adherent,,,PT-mOrUlf,,Osteosarcoma,C9145,
ACH-000411,769-P,769P,769P_KIDNEY,,910922.0,Female,ATCC,CVCL_1050,1186.0,kidney,Primary,Kidney Cancer,"Renal Carcinoma, clear cell",63,SIDM00803,,kidney,renal_cell_carcinoma,clear_cell,,2D: adherent,,,PT-Kwk2bU,,Renal cell carcinoma,C9385,
ACH-000414,NCI-H1944,NCIH1944,NCIH1944_LUNG,,1240185.0,Female,ATCC,CVCL_1508,183.0,soft_tissue,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",62,SIDM00762,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-0Fp6tq,,Lung adenocarcinoma,C3512,
