UniProt,Symbol,Expression Source,Expression Tissue,Expression Numeric Value,Expression Uberon ID,Expression Soure ID
P32929,CTH,JensenLab TISSUES,Pulmonary artery,1.719,UBERON:0002012,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Urine,1.71,UBERON:0001088,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Corpus cavernosum,1.654,UBERON:0006609,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Aorta thoracica,1.642,UBERON:0001515,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Phagocyte,1.641,CL:0000234,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Coronary artery,1.617,UBERON:0001621,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Vein,1.595,UBERON:0001638,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Nephron,1.586,UBERON:0001285,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Limbic system,1.584,UBERON:0000349,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Glial cell,1.544,CL:0000125,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Mononuclear cell,1.541,CL:0000842,ENSP00000359976
P32929,CTH,JensenLab TISSUES,BTO:0000449,1.535,UBERON:0000323,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Femoral artery,1.534,UBERON:0002060,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Abdomen,1.514,UBERON:0000916,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Peripheral nervous system,1.507,UBERON:0000010,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Capillary,1.489,UBERON:0001982,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Throat,1.479,UBERON:0000341,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Astrocyte,1.469,CL:0000127,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Gastric mucosa,1.463,UBERON:0001199,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Macroglia,1.462,CL:0000126,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Portal vein,1.448,UBERON:0002017,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Common penile artery,1.447,UBERON:0008320,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Erythrocyte,1.443,CL:0000232,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Renal corpuscle,1.433,UBERON:0001229,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Granulocyte,1.43,CL:0000094,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Thorax,1.43,UBERON:0001443,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Neutrophil,1.421,CL:0000775,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Monocyte,1.419,CL:0000576,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Carotid sinus nerve,1.419,UBERON:0009009,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Gonad,1.416,UBERON:0000991,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Sensory cell,1.412,CL:0000101,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Endocrine pancreas,1.403,UBERON:0000016,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Pancreatic islet,1.402,UBERON:0000006,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Artery wall,1.396,UBERON:0000415,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Mouth,1.381,UBERON:0000165,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Foam cell,1.381,CL:0000891,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Pancreatic beta cell,1.38,CL:0000169,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Bone,1.359,UBERON:0001474,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Ganglion,1.354,UBERON:0000045,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Hindlimb,1.352,UBERON:0002103,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Arteriole,1.349,UBERON:0001980,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Blood vessel wall,1.344,UBERON:0035965,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Brown adipose tissue,1.325,UBERON:0001348,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Adrenal cortex,1.316,UBERON:0001235,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Left ventricle,1.314,UBERON:0002084,ENSP00000359976
P32929,CTH,JensenLab TISSUES,White adipose tissue,1.313,UBERON:0001347,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Fat pad,1.294,UBERON:0003916,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Adipocyte,1.289,CL:0000136,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Tunica intima vasorum,1.288,UBERON:0002523,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Heart ventricle,1.285,UBERON:0002082,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Epithelial cell,1.282,CL:0000066,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Muscle fibre,1.265,CL:0000187,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Ileum smooth muscle,1.219,UBERON:0014390,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Glossopharyngeal nerve,1.208,UBERON:0001649,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Mesangium,1.201,UBERON:0002319,ENSP00000359976
P32929,CTH,JensenLab TISSUES,T-lymphocyte,1.191,CL:0000084,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Forelimb,1.185,UBERON:0002102,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Peritoneal macrophage,1.182,CL:0000581,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Spinal column,1.175,UBERON:0001130,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Renal artery,1.175,UBERON:0001184,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Microglia,1.163,CL:0000129,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Ileum,1.153,UBERON:0002116,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Blood platelet,1.134,CL:0000233,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Myometrium,1.118,UBERON:0001296,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Mesangial cell,1.114,CL:0000650,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Spinal ganglion,1.114,UBERON:0000044,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Capsular epithelium,1.102,UBERON:0005750,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Renal glomerular capsule,1.1,UBERON:0001230,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Periosteum,1.092,UBERON:0002515,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Circular smooth muscle,1.086,UBERON:0012368,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Mesenchymal stem cell,1.085,CL:0000134,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Autonomic nervous system,1.083,UBERON:0002410,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Basal ganglion,1.074,UBERON:0002420,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Venule,1.059,UBERON:0001979,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Joint,1.053,UBERON:0000982,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Abdominal aorta,1.052,UBERON:0001516,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Renal cortex,1.026,UBERON:0001225,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Parietal lobe,1.025,UBERON:0001872,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Pericyte,1.021,CL:0002503,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Exocrine gland,1.02,UBERON:0002365,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Diencephalon,1.011,UBERON:0001894,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Cerebrospinal fluid,1.01,UBERON:0001359,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Peritoneum,1.008,UBERON:0002358,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Adrenal medulla,1.007,UBERON:0001236,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Trophoblast,1.006,UBERON:0000088,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Subarachnoid space,0.998,UBERON:0000315,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Corpus striatum,0.997,UBERON:0000369,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Intestinal mucosa,0.991,UBERON:0001242,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Arterial endothelium,0.991,UBERON:0001917,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Intestinal epithelium,0.988,UBERON:0001277,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Cranial nerve,0.988,UBERON:0001785,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Tooth,0.967,UBERON:0001091,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Exocrine pancreas,0.966,UBERON:0000017,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Parenchyma,0.966,CL:0002494,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Tunica externa vasorum,0.953,UBERON:0005742,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Periodontal ligament,0.95,UBERON:0008266,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Middle cerebral artery,0.95,UBERON:0001627,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Myoblast,0.949,CL:0000056,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Peritoneal cavity,0.945,UBERON:0001179,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Pancreatic acinar cell,0.94,CL:0002064,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Glomerular endothelial cell,0.939,CL:0002188,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Alveolus,0.938,UBERON:0002299,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Alveolar sac,0.937,UBERON:0002169,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Mammary gland,0.932,UBERON:0001911,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Umbilical vein,0.931,UBERON:0002066,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Osteoblast,0.927,CL:0000062,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Epidermis,0.92,UBERON:0001003,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Chorion,0.912,UBERON:0003124,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Hepatic stellate cell,0.903,CL:0000632,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Syncytiotrophoblast,0.901,UBERON:0000371,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Umbilical cord,0.898,UBERON:0002331,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Small intestine epithelium,0.868,UBERON:0001902,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Aortic intima,0.864,UBERON:0003619,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Submucosa,0.862,UBERON:0000009,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Arterial endothelial cell,0.862,CL:1000413,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Enterocyte,0.858,CL:0000584,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Atrium,0.854,UBERON:0002081,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Dopaminergic neuron,0.853,CL:0000700,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Sympathetic nervous system,0.851,UBERON:0000013,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Osteoclast,0.85,CL:0000092,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Umbilical artery,0.847,UBERON:0001310,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Cerebral white matter,0.838,UBERON:0002437,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Aortic root,0.83,UBERON:0010172,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Bile duct,0.829,UBERON:0002394,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Cerebral cortical neuron,0.822,CL:0002609,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Reticuloendothelial system,0.818,UBERON:0000363,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Epidermal cell,0.815,CL:0000362,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Chromaffin cell,0.81,CL:0000166,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Uroepithelium,0.81,UBERON:0000365,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Vena cava,0.809,UBERON:0004087,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Colonic mucosa,0.798,UBERON:0000317,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Gastric fundus,0.797,UBERON:0001160,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Arterial smooth muscle,0.791,UBERON:0002111,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Jejunum,0.788,UBERON:0002115,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Medulla oblongata,0.787,UBERON:0001896,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Dermis,0.783,UBERON:0002067,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Hematopoietic stem cell,0.783,CL:0000037,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Midbrain,0.769,UBERON:0001891,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Tunica media vasorum,0.749,UBERON:0002522,ENSP00000359976
P32929,CTH,JensenLab TISSUES,B-lymphocyte,0.748,CL:0000236,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Pronephros,0.747,UBERON:0002120,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Pleural fluid,0.743,UBERON:0001087,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Dendritic cell,0.737,CL:0000451,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Subcutaneous adipose tissue,0.733,UBERON:0002190,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Gastric juice,0.731,UBERON:0001971,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Neuroendocrine cell,0.728,CL:0000165,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Gastric epithelium,0.725,UBERON:0001276,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Villus,0.718,UBERON:0001213,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Subcutis,0.715,UBERON:0002072,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Hypothalamus,0.714,UBERON:0001898,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Gastric antrum,0.714,UBERON:0001165,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Thalamic nucleus,0.701,UBERON:0007692,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Mast cell,0.7,CL:0000097,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Vagus nerve,0.7,UBERON:0001759,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Femur,0.697,UBERON:0000981,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Alveolar epithelium,0.695,UBERON:0004821,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Cartilage,0.694,UBERON:0002418,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Tibia,0.683,UBERON:0000979,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Trigeminal ganglion,0.681,UBERON:0001675,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Renal inner medulla,0.68,UBERON:0001294,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Myenteric plexus,0.675,UBERON:0002439,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Cranial ganglion,0.674,UBERON:0001714,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Cochlea,0.674,UBERON:0001844,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Hepatic artery,0.671,UBERON:0001193,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Blood serum,0.67,UBERON:0001977,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Nucleus pulposus,0.666,UBERON:0002242,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Enteric plexus,0.664,UBERON:0000429,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Germ layer,0.658,UBERON:0000923,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Cornea,0.654,UBERON:0000964,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Ganglion cell layer,0.65,UBERON:0001792,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Colonic epithelium,0.648,UBERON:0000397,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Finger,0.64,UBERON:0002389,ENSP00000359976
P32929,CTH,JensenLab TISSUES,External carotid artery,0.64,UBERON:0001070,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Hand,0.639,UBERON:0002398,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Respiratory mucosa,0.638,UBERON:0004785,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Vestibular labyrinth,0.633,UBERON:0001862,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Vestibular system,0.633,UBERON:0004681,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Gingiva,0.627,UBERON:0001828,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Right ventricle,0.626,UBERON:0002080,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Stratum spinosum,0.621,UBERON:0002026,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Motoneuron,0.62,CL:0000100,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Keratinocyte,0.617,CL:0000312,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Chondrocyte,0.616,CL:0000138,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Null cell,0.614,CL:0000623,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Longitudinal smooth muscle,0.614,UBERON:0012369,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Myeloid progenitor cell,0.611,CL:0000839,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Cranium,0.607,UBERON:0003129,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Penis,0.604,UBERON:0000989,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Myelin sheath,0.602,UBERON:0000347,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Ureter,0.599,UBERON:0000056,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Hypophysis,0.594,UBERON:0000007,ENSP00000359976
P32929,CTH,JensenLab TISSUES,BTO:0000491,0.59,UBERON:0000174,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Ear,0.584,UBERON:0001690,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Knee,0.584,UBERON:0001465,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Cytotrophoblast,0.583,UBERON:0000319,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Nasal mucosa,0.583,UBERON:0001826,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Kupffer cell,0.581,CL:0000091,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Outer plexiform layer,0.579,UBERON:0001790,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Alveolar wall,0.578,UBERON:0004894,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Inner ear,0.576,UBERON:0001846,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Nose,0.575,UBERON:0000004,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Ciliary body,0.574,UBERON:0001775,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Blast cell,0.571,CL:0000055,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Myelin,0.571,UBERON:0000345,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Alveolar bone,0.569,UBERON:0004103,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Inferior vena cava,0.569,UBERON:0001072,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Esophageal mucosa,0.568,UBERON:0002469,ENSP00000359976
P32929,CTH,JensenLab TISSUES,External male genital organ,0.567,UBERON:0004053,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Semen,0.559,UBERON:0001968,ENSP00000359976
P32929,CTH,JensenLab TISSUES,BTO:0000964,0.555,CL:0000023,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Spiral organ,0.554,UBERON:0002227,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Brain ventricle,0.552,UBERON:0004086,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Superior mesenteric artery,0.551,UBERON:0001182,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Paraventricular nucleus,0.551,UBERON:0001920,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Aortic valve,0.55,UBERON:0002137,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Median nucleus of thalamus,0.549,UBERON:0002705,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Lens,0.543,UBERON:0000965,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Sciatic nerve,0.543,UBERON:0001322,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Cochlear duct,0.542,UBERON:0001855,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Intervertebral disc,0.542,UBERON:0001066,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Renal proximal tubule epithelium,0.53,UBERON:0008404,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Retinal ganglion cell,0.528,CL:0000740,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Gut wall,0.527,UBERON:0000328,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Ovarian follicle,0.526,UBERON:0001305,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Decidua,0.526,UBERON:0002450,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Enteric nervous system,0.525,UBERON:0002005,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Mesoderm,0.524,UBERON:0000926,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Retinal pigment epithelium,0.524,UBERON:0001782,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Pancreatic duct,0.52,UBERON:0001064,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Zygote,0.517,CL:0000365,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Gall bladder epithelium,0.517,UBERON:0002029,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Stromal cell,0.513,CL:0000499,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Occipital lobe,0.511,UBERON:0002021,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Dorsum,0.501,UBERON:0001137,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Epithalamus,0.079,UBERON:0001899,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Pineal gland,0.079,UBERON:0001905,ENSP00000359976
Q49A92,C8orf34,JensenLab TISSUES,Oral mucosa,1.091,UBERON:0003729,ENSP00000427820
Q49A92,C8orf34,JensenLab TISSUES,Lumbar spine,0.951,UBERON:0006074,ENSP00000427820
Q49A92,C8orf34,JensenLab TISSUES,Palatine uvula,0.847,UBERON:0001734,ENSP00000427820
Q49A92,C8orf34,JensenLab TISSUES,Gastric corpus,0.642,UBERON:0001161,ENSP00000427820
Q49A92,C8orf34,JensenLab TISSUES,Gastroesophageal junction,0.594,UBERON:0007650,ENSP00000427820
Q49A92,C8orf34,JensenLab TISSUES,Pectoral muscle,0.593,UBERON:0001495,ENSP00000427820
Q49A92,C8orf34,JensenLab TISSUES,Ankle joint,0.526,UBERON:0001488,ENSP00000427820
Q49A92,C8orf34,JensenLab TISSUES,Hinge joint,0.521,UBERON:0011206,ENSP00000427820
Q49A92,C8orf34,JensenLab TISSUES,Lateral ventricle,0.182,UBERON:0002285,ENSP00000427820
Q9UFW8,CGGBP1,HPA Protein,cerebellum - Purkinje cells,,UBERON:0002979,ENSG00000163320
Q9UFW8,CGGBP1,JensenLab TISSUES,Melanocyte,4.0,CL:0000148,ENSP00000381429
Q9UFW8,CGGBP1,JensenLab TISSUES,Prepuce,1.447,UBERON:0001332,ENSP00000381429
Q9UFW8,CGGBP1,JensenLab TISSUES,Auditory vesicle,1.004,UBERON:0003051,ENSP00000381429
Q9UFW8,CGGBP1,JensenLab TISSUES,Ovarian surface epithelium,1.0,UBERON:0001304,ENSP00000381429
Q9UFW8,CGGBP1,JensenLab TISSUES,Right atrium,0.668,UBERON:0002078,ENSP00000381429
Q9UFW8,CGGBP1,JensenLab TISSUES,Left atrium,0.652,UBERON:0002079,ENSP00000381429
Q9UFW8,CGGBP1,JensenLab TISSUES,Prostate gland epithelium,0.55,UBERON:0000428,ENSP00000381429
Q9UFW8,CGGBP1,JensenLab TISSUES,Pharynx,0.368,UBERON:0001042,ENSP00000381429
Q9UFW8,CGGBP1,JensenLab TISSUES,Cervical ganglion,0.217,UBERON:0001991,ENSP00000381429
Q9UFW8,CGGBP1,JensenLab TISSUES,Superior cervical ganglion,0.217,UBERON:0001989,ENSP00000381429
Q9UFW8,CGGBP1,JensenLab TISSUES,Sympathetic ganglion,0.217,UBERON:0001806,ENSP00000381429
Q9UFW8,CGGBP1,JensenLab TISSUES,Sympathetic chain,0.217,UBERON:0000407,ENSP00000381429
Q9UFW8,CGGBP1,JensenLab TISSUES,Fibre tract,0.114,UBERON:0001019,ENSP00000381429
Q9UFW8,CGGBP1,JensenLab TISSUES,Cerebral peduncle,0.114,UBERON:0002623,ENSP00000381429
Q9UFW8,CGGBP1,JensenLab TISSUES,Pons,0.097,UBERON:0000988,ENSP00000381429
Q9UFW8,CGGBP1,JensenLab TISSUES,Embryonic brain,0.079,UBERON:0006238,ENSP00000381429
Q9UFW8,CGGBP1,JensenLab TISSUES,Cytotoxic T-lymphocyte,0.061,CL:0000910,ENSP00000381429
Q9UFW8,CGGBP1,JensenLab TISSUES,Neostriatum,0.021,UBERON:0002435,ENSP00000381429
Q96K31,C8orf76,JensenLab TISSUES,Megakaryoblast,0.719,CL:0000553,ENSP00000276704
O14646,CHD1,JensenLab TISSUES,Embryonic stem cell,2.332,CL:0002322,ENSP00000483667
O14646,CHD1,JensenLab TISSUES,Somatic cell,1.88,CL:0002371,ENSP00000483667
O14646,CHD1,JensenLab TISSUES,Blastocyst,1.82,UBERON:0000358,ENSP00000483667
O14646,CHD1,JensenLab TISSUES,Primitive endoderm,1.703,UBERON:0008776,ENSP00000483667
O14646,CHD1,JensenLab TISSUES,Epiblast,1.703,UBERON:0002532,ENSP00000483667
O14646,CHD1,JensenLab TISSUES,Endoderm,1.478,UBERON:0000925,ENSP00000483667
O14646,CHD1,JensenLab TISSUES,Neural stem cell,1.369,CL:0000047,ENSP00000483667
O14646,CHD1,JensenLab TISSUES,Neural crest,1.276,UBERON:0002342,ENSP00000483667
O14646,CHD1,JensenLab TISSUES,Ectoderm,1.231,UBERON:0000924,ENSP00000483667
O14646,CHD1,JensenLab TISSUES,Blastomere,1.157,CL:0000353,ENSP00000483667
O14646,CHD1,JensenLab TISSUES,Basal cell,1.134,CL:0000646,ENSP00000483667
O14646,CHD1,JensenLab TISSUES,Morula,1.102,UBERON:0000085,ENSP00000483667
O14646,CHD1,JensenLab TISSUES,Egg,1.029,CL:0000025,ENSP00000483667
O14646,CHD1,JensenLab TISSUES,Spermatozoon,1.006,CL:0000019,ENSP00000483667
O14646,CHD1,JensenLab TISSUES,Stomodeum,0.956,UBERON:0000930,ENSP00000483667
O14646,CHD1,JensenLab TISSUES,Spermatid,0.943,CL:0000018,ENSP00000483667
O14646,CHD1,JensenLab TISSUES,Feather calamus,0.908,UBERON:0004533,ENSP00000483667
O14646,CHD1,JensenLab TISSUES,Submandibular gland duct,0.895,UBERON:0002334,ENSP00000483667
O14646,CHD1,JensenLab TISSUES,Primordium,0.86,UBERON:0001048,ENSP00000483667
