kegg_pathwayid,kegg_pathwayname,kegg_diseaseid,kegg_diseasename
hsa00670,"One carbon pool by folate",H01285,"Methylcobalamin deficiency type G"
hsa00270,"Cysteine and methionine metabolism",H02294,"Tatton-Brown-Rahman syndrome"
hsa00280,"Valine, leucine and isoleucine degradation",H00172,"Maple syrup urine disease"
hsa00280,"Valine, leucine and isoleucine degradation",H00173,"Isovaleric acidemia"
hsa00280,"Valine, leucine and isoleucine degradation",H00174,"Methylmalonic aciduria"
hsa00280,"Valine, leucine and isoleucine degradation",H00175,"Propionic acidemia"
hsa00640,"Propanoate metabolism",H00175,"Propionic acidemia"
hsa00280,"Valine, leucine and isoleucine degradation",H00179,"3-Hydroxy-3-methylglutaryl-CoA lyase deficiency"
hsa00650,"Butanoate metabolism",H00179,"3-Hydroxy-3-methylglutaryl-CoA lyase deficiency"
hsa00280,"Valine, leucine and isoleucine degradation",H00181,3-Methylcrotonylglycinuria
hsa00280,"Valine, leucine and isoleucine degradation",H00754,"3-Methylglutaconic aciduria"
hsa00280,"Valine, leucine and isoleucine degradation",H00925,"2-Methyl-3-hydroxybutyryl-CoA dehydrogenase (MHBD) deficiency"
hsa00280,"Valine, leucine and isoleucine degradation",H01279,"Isobutyryl-CoA dehydrogenase deficiency"
hsa00280,"Valine, leucine and isoleucine degradation",H01349,"Methacrylic aciduria"
hsa00280,"Valine, leucine and isoleucine degradation",H02285,"Methylmalonate semialdehyde dehydrogenase deficiency"
hsa00410,"beta-Alanine metabolism",H02285,"Methylmalonate semialdehyde dehydrogenase deficiency"
hsa00640,"Propanoate metabolism",H02285,"Methylmalonate semialdehyde dehydrogenase deficiency"
hsa00310,"Lysine degradation",H00188,Hyperlysinemia
hsa00310,"Lysine degradation",H00570,"Kabuki syndrome"
hsa00310,"Lysine degradation",H00718,"Sotos syndrome"
hsa00310,"Lysine degradation",H00907,"Kleefstra syndrome"
hsa00310,"Lysine degradation",H00980,"Nevo syndrome"
hsa00310,"Lysine degradation",H01192,"Lysyl hydroxylase 3 deficiency"
hsa00514,"Other types of O-glycan biosynthesis",H01192,"Lysyl hydroxylase 3 deficiency"
hsa00310,"Lysine degradation",H01242,Saccharopinuria
hsa00310,"Lysine degradation",H01247,"Pyridoxine-dependent epilepsy"
hsa00310,"Lysine degradation",H01751,"Weaver syndrome"
hsa00330,"Arginine and proline metabolism",H00189,Ornithinaemia
hsa00330,"Arginine and proline metabolism",H00190,Hyperprolinemia
hsa00340,"Histidine metabolism",H00171,Histidinemia
hsa00340,"Histidine metabolism",H00548,"Brunner syndrome"
hsa00350,"Tyrosine metabolism",H00548,"Brunner syndrome"
hsa00380,"Tryptophan metabolism",H00548,"Brunner syndrome"
hsa04728,"Dopaminergic synapse",H00548,"Brunner syndrome"
hsa00340,"Histidine metabolism",H00862,"Tourette syndrome"
hsa00340,"Histidine metabolism",H01233,"Urocanase deficiency"
hsa00340,"Histidine metabolism",H01262,"Formiminotransferase deficiency"
hsa00670,"One carbon pool by folate",H01262,"Formiminotransferase deficiency"
hsa00350,"Tyrosine metabolism",H00163,Alkaptonuria
hsa00350,"Tyrosine metabolism",H00165,Tyrosinemia
hsa00360,"Phenylalanine metabolism",H00165,Tyrosinemia
hsa00350,"Tyrosine metabolism",H00168,"Oculocutaneous albinism"
hsa04916,Melanogenesis,H00168,"Oculocutaneous albinism"
hsa00350,"Tyrosine metabolism",H00251,"Thyroid dyshormonogenesis"
hsa04918,"Thyroid hormone synthesis",H00251,"Thyroid dyshormonogenesis"
hsa00350,"Tyrosine metabolism",H00831,"Primary dystonia"
hsa00790,"Folate biosynthesis",H00831,"Primary dystonia"
hsa04260,"Cardiac muscle contraction",H00831,"Primary dystonia"
hsa04728,"Dopaminergic synapse",H00831,"Primary dystonia"
hsa04920,"Adipocytokine signaling pathway",H00831,"Primary dystonia"
hsa04976,"Bile secretion",H00831,"Primary dystonia"
hsa00350,"Tyrosine metabolism",H01005,"Dopamine beta-hydroxylase deficiency"
hsa00350,"Tyrosine metabolism",H01161,"Aromatic L-amino acid decarboxylase deficiency"
hsa00380,"Tryptophan metabolism",H01161,"Aromatic L-amino acid decarboxylase deficiency"
hsa04726,"Serotonergic synapse",H01161,"Aromatic L-amino acid decarboxylase deficiency"
hsa04728,"Dopaminergic synapse",H01161,"Aromatic L-amino acid decarboxylase deficiency"
hsa00380,"Tryptophan metabolism",H00203,Acatalasemia
hsa04146,Peroxisome,H00203,Acatalasemia
hsa00380,"Tryptophan metabolism",H00689,"Delayed sleep phase syndrome"
hsa04710,"Circadian rhythm",H00689,"Delayed sleep phase syndrome"
hsa00380,"Tryptophan metabolism",H01583,Hydroxykynureninuria
hsa00380,"Tryptophan metabolism",H02087,"Vertebral, cardiac, renal, and limb defects syndrome"
hsa00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",H00167,Phenylketonuria
hsa00790,"Folate biosynthesis",H00167,Phenylketonuria
hsa00410,"beta-Alanine metabolism",H01283,"Malonyl-CoA decarboxylase deficiency"
hsa00640,"Propanoate metabolism",H01283,"Malonyl-CoA decarboxylase deficiency"
hsa04146,Peroxisome,H01283,"Malonyl-CoA decarboxylase deficiency"
hsa00440,"Phosphonate and phosphinate metabolism",H01821,"Spondylometaphyseal dysplasia with cone-rod dystrophy"
hsa00564,"Glycerophospholipid metabolism",H01821,"Spondylometaphyseal dysplasia with cone-rod dystrophy"
hsa00480,"Glutathione metabolism",H02312,"Glutathione synthetase deficiency"
hsa04216,Ferroptosis,H02312,"Glutathione synthetase deficiency"
hsa00480,"Glutathione metabolism",H02313,"5-Oxoprolinase deficiency"
hsa00500,"Starch and sucrose metabolism",H00115,"Congenital sucrase-isomaltase deficiency"
hsa00500,"Starch and sucrose metabolism",H01941,"Glycogen storage disease type III"
hsa00500,"Starch and sucrose metabolism",H01942,"Glycogen storage disease type IV"
hsa00500,"Starch and sucrose metabolism",H01943,"Glycogen storage disease type V"
hsa04910,"Insulin signaling pathway",H01943,"Glycogen storage disease type V"
hsa00500,"Starch and sucrose metabolism",H01944,"Glycogen storage disease type VI"
hsa04910,"Insulin signaling pathway",H01944,"Glycogen storage disease type VI"
hsa04922,"Glucagon signaling pathway",H01944,"Glycogen storage disease type VI"
hsa00500,"Starch and sucrose metabolism",H01949,"Glycogen storage disease type 0b"
hsa04910,"Insulin signaling pathway",H01949,"Glycogen storage disease type 0b"
hsa00500,"Starch and sucrose metabolism",H01950,"Glycogen storage disease type 0a"
hsa04910,"Insulin signaling pathway",H01950,"Glycogen storage disease type 0a"
hsa00500,"Starch and sucrose metabolism",H01955,"Glycogen storage disease type XV"
hsa00500,"Starch and sucrose metabolism",H02090,"Trehalase deficiency"
hsa00510,"N-Glycan biosynthesis",H00119,"Congenital disorders of glycosylation type II"
hsa00510,"N-Glycan biosynthesis",H00119,"Congenital disorders of glycosylation type II"
hsa00511,"Other glycan degradation",H00124,"GM2 gangliosidoses"
hsa00531,"Glycosaminoglycan degradation",H00124,"GM2 gangliosidoses"
hsa00603,"Glycosphingolipid biosynthesis",H00124,"GM2 gangliosidoses"
hsa00604,"Glycosphingolipid biosynthesis",H00124,"GM2 gangliosidoses"
hsa04142,Lysosome,H00124,"GM2 gangliosidoses"
hsa00511,"Other glycan degradation",H00126,"Gaucher disease"
hsa00600,"Sphingolipid metabolism",H00126,"Gaucher disease"
hsa04142,Lysosome,H00126,"Gaucher disease"
hsa00511,"Other glycan degradation",H00139,alpha-Mannosidosis
hsa04142,Lysosome,H00139,alpha-Mannosidosis
hsa00511,"Other glycan degradation",H00140,beta-Mannosidosis
hsa04142,Lysosome,H00140,beta-Mannosidosis
hsa00511,"Other glycan degradation",H00141,Fucosidosis
hsa04142,Lysosome,H00141,Fucosidosis
hsa00511,"Other glycan degradation",H00142,Sialidosis
hsa00600,"Sphingolipid metabolism",H00142,Sialidosis
hsa04142,Lysosome,H00142,Sialidosis
hsa00511,"Other glycan degradation",H00145,Aspartylglucosaminuria
hsa04142,Lysosome,H00145,Aspartylglucosaminuria
hsa00511,"Other glycan degradation",H00281,"GM1 gangliosidosis"
hsa00531,"Glycosaminoglycan degradation",H00281,"GM1 gangliosidosis"
hsa00600,"Sphingolipid metabolism",H00281,"GM1 gangliosidosis"
hsa00604,"Glycosphingolipid biosynthesis",H00281,"GM1 gangliosidosis"
hsa04142,Lysosome,H00281,"GM1 gangliosidosis"
hsa00511,"Other glycan degradation",H00422,Glycoproteinoses
hsa00603,"Glycosphingolipid biosynthesis",H00422,Glycoproteinoses
hsa04142,Lysosome,H00422,Glycoproteinoses
hsa00511,"Other glycan degradation",H00426,Gangliosidosis
hsa00531,"Glycosaminoglycan degradation",H00426,Gangliosidosis
hsa00600,"Sphingolipid metabolism",H00426,Gangliosidosis
hsa00604,"Glycosphingolipid biosynthesis",H00426,Gangliosidosis
hsa04142,Lysosome,H00426,Gangliosidosis
hsa00511,"Other glycan degradation",H02016,"Tay-Sachs disease"
hsa00531,"Glycosaminoglycan degradation",H02016,"Tay-Sachs disease"
hsa00511,"Other glycan degradation",H02017,"Sandhoff disease"
hsa00531,"Glycosaminoglycan degradation",H02017,"Sandhoff disease"
hsa00512,"Mucin type O-glycan biosynthesis",H00020,"Colorectal cancer"
hsa00512,"Mucin type O-glycan biosynthesis",H01188,"Tn syndrome"
hsa00513,"Various types of N-glycan biosynthesis",H00768,"Autosomal recessive mental retardation"
hsa00514,"Other types of O-glycan biosynthesis",H00593,"Limb-girdle muscular dystrophy"
hsa00515,"Mannose type O-glycan biosynthesis",H00593,"Limb-girdle muscular dystrophy"
hsa04120,"Ubiquitin mediated proteolysis",H00593,"Limb-girdle muscular dystrophy"
hsa04144,Endocytosis,H00593,"Limb-girdle muscular dystrophy"
hsa04510,"Focal adhesion",H00593,"Limb-girdle muscular dystrophy"
hsa04530,"Tight junction",H00593,"Limb-girdle muscular dystrophy"
hsa00514,"Other types of O-glycan biosynthesis",H00944,"Dowling-Degos disease"
hsa00515,"Mannose type O-glycan biosynthesis",H00120,"Muscular dystrophy-dystroglycanopathy type A"
hsa00515,"Mannose type O-glycan biosynthesis",H00120,"Muscular dystrophy-dystroglycanopathy type A"
hsa00515,"Mannose type O-glycan biosynthesis",H01957,"Fukuyama congenital muscular dystrophy"
hsa00515,"Mannose type O-glycan biosynthesis",H01959,"Muscular dystrophy-dystroglycanopathy type C"
hsa00515,"Mannose type O-glycan biosynthesis",H01960,"Muscular dystrophy-dystroglycanopathy type B"
hsa00515,"Mannose type O-glycan biosynthesis",H01961,"Congenital muscular dystrophy type 1C"
hsa00515,"Mannose type O-glycan biosynthesis",H01962,"Congenital muscular dystrophy type 1D"
hsa00515,"Mannose type O-glycan biosynthesis",H02307,"Muscular dystrophy-dystroglycanopathy"
hsa00520,"Amino sugar and nucleotide sugar metabolism",H00147,Sialuria
hsa04142,Lysosome,H00147,Sialuria
hsa00520,"Amino sugar and nucleotide sugar metabolism",H00235,Methemoglobinemia
hsa00520,"Amino sugar and nucleotide sugar metabolism",H00594,"Distal myopathy"
hsa04141,"Protein processing in endoplasmic reticulum",H00594,"Distal myopathy"
hsa04260,"Cardiac muscle contraction",H00594,"Distal myopathy"
hsa04530,"Tight junction",H00594,"Distal myopathy"
hsa00520,"Amino sugar and nucleotide sugar metabolism",H00596,"Nonaka distal myopathy (NM)"
hsa00520,"Amino sugar and nucleotide sugar metabolism",H00770,"Congenital myasthenic syndrome"
hsa00564,"Glycerophospholipid metabolism",H00770,"Congenital myasthenic syndrome"
hsa04080,"Neuroactive ligand-receptor interaction",H00770,"Congenital myasthenic syndrome"
hsa04512,"ECM-receptor interaction",H00770,"Congenital myasthenic syndrome"
hsa04725,"Cholinergic synapse",H00770,"Congenital myasthenic syndrome"
hsa00531,"Glycosaminoglycan degradation",H00123,"Mucopolysaccharidosis type IV"
hsa04142,Lysosome,H00123,"Mucopolysaccharidosis type IV"
hsa00531,"Glycosaminoglycan degradation",H00128,"Mucopolysaccharidosis type I"
hsa04142,Lysosome,H00128,"Mucopolysaccharidosis type I"
hsa00531,"Glycosaminoglycan degradation",H00129,"Mucopolysaccharidosis type II"
hsa04142,Lysosome,H00129,"Mucopolysaccharidosis type II"
hsa00531,"Glycosaminoglycan degradation",H00130,"Mucopolysaccharidosis type III"
hsa04142,Lysosome,H00130,"Mucopolysaccharidosis type III"
hsa00531,"Glycosaminoglycan degradation",H00131,"Mucopolysaccharidosis type VI"
hsa04142,Lysosome,H00131,"Mucopolysaccharidosis type VI"
hsa00531,"Glycosaminoglycan degradation",H00132,"Mucopolysaccharidosis type VII"
hsa04142,Lysosome,H00132,"Mucopolysaccharidosis type VII"
hsa00531,"Glycosaminoglycan degradation",H00133,"Mucopolysaccharidosis type IX"
hsa04142,Lysosome,H00133,"Mucopolysaccharidosis type IX"
hsa00531,"Glycosaminoglycan degradation",H00421,Mucopolysaccharidosis
hsa04142,Lysosome,H00421,Mucopolysaccharidosis
hsa00531,"Glycosaminoglycan degradation",H00753,"Urofacial syndrome"
hsa01100,"Metabolic pathways",H00753,"Urofacial syndrome"
hsa00532,"Glycosaminoglycan biosynthesis",H00762,"Spondyloepiphyseal dysplasia with congenital joint dislocations"
hsa00532,"Glycosaminoglycan biosynthesis",H01494,"SEMD with joint laxity type"
hsa00534,"Glycosaminoglycan biosynthesis",H01494,"SEMD with joint laxity type"
hsa00532,"Glycosaminoglycan biosynthesis",H01496,"Spondyloocular syndrome"
hsa00534,"Glycosaminoglycan biosynthesis",H01496,"Spondyloocular syndrome"
hsa00532,"Glycosaminoglycan biosynthesis",H01497,"Temtamy preaxial brachydactyly syndrome"
hsa00532,"Glycosaminoglycan biosynthesis",H01498,"Multiple joint dislocations, short stature, craniofacial dysmorphism, and congenital heart defects"
hsa00534,"Glycosaminoglycan biosynthesis",H01498,"Multiple joint dislocations, short stature, craniofacial dysmorphism, and congenital heart defects"
hsa00532,"Glycosaminoglycan biosynthesis",H02246,"Ehlers-Danlos syndrome musculocontractural type"
hsa00533,"Glycosaminoglycan biosynthesis",H00954,"Macular corneal dystrophy"
hsa00534,"Glycosaminoglycan biosynthesis",H00122,"Multiple exostoses"
hsa00561,"Glycerolipid metabolism",H00154,"Hyperlipoproteinemia, type I"
hsa03320,"PPAR signaling pathway",H00154,"Hyperlipoproteinemia, type I"
hsa00561,"Glycerolipid metabolism",H01117,"Chronic recurrent multifocal osteomyelitis"
hsa00564,"Glycerophospholipid metabolism",H01117,"Chronic recurrent multifocal osteomyelitis"
hsa00561,"Glycerolipid metabolism",H01290,"Acute recurrent myoglobinuria"
hsa00564,"Glycerophospholipid metabolism",H01290,"Acute recurrent myoglobinuria"
hsa00561,"Glycerolipid metabolism",H01333,"Nonalcoholic fatty liver disease"
hsa00561,"Glycerolipid metabolism",H02013,"Glycerol kinase deficiency"
hsa03320,"PPAR signaling pathway",H02013,"Glycerol kinase deficiency"
hsa00561,"Glycerolipid metabolism",H02329,"Hepatic lipase deficiency"
hsa04979,"Cholesterol metabolism",H02329,"Hepatic lipase deficiency"
hsa00561,"Glycerolipid metabolism",H02330,"Pancreatic lipase deficiency"
hsa04972,"Pancreatic secretion",H02330,"Pancreatic lipase deficiency"
hsa04975,"Fat digestion and absorption",H02330,"Pancreatic lipase deficiency"
hsa04977,"Vitamin digestion and absorption",H02330,"Pancreatic lipase deficiency"
hsa00562,"Inositol phosphate metabolism",H00530,"Joubert syndrome"
hsa04070,"Phosphatidylinositol signaling system",H00530,"Joubert syndrome"
hsa04340,"Hedgehog signaling pathway",H00530,"Joubert syndrome"
hsa00562,"Inositol phosphate metabolism",H00692,"Lowe syndrome"
hsa04070,"Phosphatidylinositol signaling system",H00692,"Lowe syndrome"
hsa00562,"Inositol phosphate metabolism",H00694,"Dent disease"
hsa04070,"Phosphatidylinositol signaling system",H00694,"Dent disease"
hsa00562,"Inositol phosphate metabolism",H00700,"Centronuclear myopathy"
hsa04070,"Phosphatidylinositol signaling system",H00700,"Centronuclear myopathy"
hsa04144,Endocytosis,H00700,"Centronuclear myopathy"
hsa04721,"Synaptic vesicle cycle",H00700,"Centronuclear myopathy"
hsa04961,"Endocrine and other factor-regulated calcium reabsorption",H00700,"Centronuclear myopathy"
hsa00562,"Inositol phosphate metabolism",H00957,"Fleck corneal dystrophy"
hsa04070,"Phosphatidylinositol signaling system",H00957,"Fleck corneal dystrophy"
hsa04145,Phagosome,H00957,"Fleck corneal dystrophy"
hsa04810,"Regulation of actin cytoskeleton",H00957,"Fleck corneal dystrophy"
hsa00562,"Inositol phosphate metabolism",H01195,"VACTERL/VATER association"
hsa04070,"Phosphatidylinositol signaling system",H01195,"VACTERL/VATER association"
hsa04115,"p53 signaling pathway",H01195,"VACTERL/VATER association"
hsa04510,"Focal adhesion",H01195,"VACTERL/VATER association"
hsa04530,"Tight junction",H01195,"VACTERL/VATER association"
hsa00562,"Inositol phosphate metabolism",H01387,"Activated PI3K-delta syndrome"
hsa04151,"PI3K-Akt signaling pathway",H01387,"Activated PI3K-delta syndrome"
hsa04660,"T cell receptor signaling pathway",H01387,"Activated PI3K-delta syndrome"
hsa04662,"B cell receptor signaling pathway",H01387,"Activated PI3K-delta syndrome"
hsa04664,"Fc epsilon RI signaling pathway",H01387,"Activated PI3K-delta syndrome"
hsa04666,"Fc gamma R-mediated phagocytosis",H01387,"Activated PI3K-delta syndrome"
hsa04670,"Leukocyte transendothelial migration",H01387,"Activated PI3K-delta syndrome"
hsa00562,"Inositol phosphate metabolism",H02306,"Chondrodysplasia with joint dislocations, GPAPP type"
hsa00920,"Sulfur metabolism",H02306,"Chondrodysplasia with joint dislocations, GPAPP type"
hsa04070,"Phosphatidylinositol signaling system",H02306,"Chondrodysplasia with joint dislocations, GPAPP type"
hsa00563,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",H01053,"Paroxysmal nocturnal hemoglobinuria"
hsa00563,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",H01127,"PIGM-congenital disorder of glycosylation"
hsa00563,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",H01485,"Autosomal recessive mental retardation-42"
hsa00563,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",H01486,"Multiple congenital anomalies-hypotonia-seizures syndrome"
hsa00563,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",H01487,"CHIME syndrome"
hsa00563,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",H01488,"Hyperphosphatasia with mental retardation syndrome"
hsa00563,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",H01489,"Inherited glycosylphosphatidylinositol deficiencies"
hsa00564,"Glycerophospholipid metabolism",H00158,"Lecithin:cholesterol acyltransferase deficiency"
hsa00564,"Glycerophospholipid metabolism",H00207,"Rhizomelic chondrodysplasia punctata"
hsa00565,"Ether lipid metabolism",H00207,"Rhizomelic chondrodysplasia punctata"
hsa04146,Peroxisome,H00207,"Rhizomelic chondrodysplasia punctata"
hsa00564,"Glycerophospholipid metabolism",H00654,"Barth syndrome"
hsa00564,"Glycerophospholipid metabolism",H01832,"Lenz-Majewski syndrome"
hsa00564,"Glycerophospholipid metabolism",H01898,"PNPLA6-related disorders"
hsa00564,"Glycerophospholipid metabolism",H02137,"Laurence-Moon syndrome"
hsa00564,"Glycerophospholipid metabolism",H02140,"Boucher-Neuhauser syndrome"
hsa00590,"Arachidonic acid metabolism",H00490,"Diaphyseal dysplasia with anemia"
hsa00590,"Arachidonic acid metabolism",H02284,"Leukotriene C4 synthase deficiency"
hsa00600,"Sphingolipid metabolism",H00125,"Fabry disease"
hsa00603,"Glycosphingolipid biosynthesis",H00125,"Fabry disease"
hsa04142,Lysosome,H00125,"Fabry disease"
hsa00600,"Sphingolipid metabolism",H00127,"Metachromatic leukodystrophy"
hsa04142,Lysosome,H00127,"Metachromatic leukodystrophy"
hsa00600,"Sphingolipid metabolism",H00135,"Krabbe disease"
hsa04142,Lysosome,H00135,"Krabbe disease"
hsa00600,"Sphingolipid metabolism",H00137,"Niemann-Pick disease type A/B"
hsa04142,Lysosome,H00137,"Niemann-Pick disease type A/B"
hsa00600,"Sphingolipid metabolism",H00138,"Farber lipogranulomatosis"
hsa04142,Lysosome,H00138,"Farber lipogranulomatosis"
hsa00600,"Sphingolipid metabolism",H00265,"Hereditary sensory and autonomic neuropathy"
hsa04010,"MAPK signaling pathway",H00265,"Hereditary sensory and autonomic neuropathy"
hsa04144,Endocytosis,H00265,"Hereditary sensory and autonomic neuropathy"
hsa04145,Phagosome,H00265,"Hereditary sensory and autonomic neuropathy"
hsa04210,Apoptosis,H00265,"Hereditary sensory and autonomic neuropathy"
hsa04722,"Neurotrophin signaling pathway",H00265,"Hereditary sensory and autonomic neuropathy"
hsa00600,"Sphingolipid metabolism",H00423,Sphingolipidosis
hsa04142,Lysosome,H00423,Sphingolipidosis
hsa00600,"Sphingolipid metabolism",H00424,"Defects in the degradation of sphingomyelin"
hsa04142,Lysosome,H00424,"Defects in the degradation of sphingomyelin"
hsa00601,"Glycosphingolipid biosynthesis",H01013,"Adult i phenotype"
hsa00601,"Glycosphingolipid biosynthesis",H01460,"West syndrome"
hsa00603,"Glycosphingolipid biosynthesis",H00146,"Alpha-N-acetylgalactosaminidase deficiency"
hsa04142,Lysosome,H00146,"Alpha-N-acetylgalactosaminidase deficiency"
hsa00604,"Glycosphingolipid biosynthesis",H00996,"Amish infantile epilepsy syndrome"
hsa00650,"Butanoate metabolism",H01280,"L-2-hydroxyglutaric aciduria"
hsa00670,"One carbon pool by folate",H00262,"Spina bifida"
hsa00670,"One carbon pool by folate",H01197,"Dihydrofolate reductase deficiency"
hsa00790,"Folate biosynthesis",H01197,"Dihydrofolate reductase deficiency"
hsa00730,"Thiamine metabolism",H01567,"Thiamine pyrophosphokinase deficiency"
hsa00740,"Riboflavin metabolism",H01113,"Acid phosphatase deficiency"
hsa04142,Lysosome,H01113,"Acid phosphatase deficiency"
hsa00750,"Vitamin B6 metabolism",H01124,"Pyridoxamine-5'-phosphate oxidase (PNPO) deficiency"
hsa00760,"Nicotinate and nicotinamide metabolism",H01929,"2,4-Dienoyl-CoA reductase deficiency"
hsa00770,"Pantothenate and CoA biosynthesis",H00832,"Core neuroacanthocytosis syndromes"
hsa00770,"Pantothenate and CoA biosynthesis",H00833,"Neurodegeneration with brain iron accumulation"
hsa00770,"Pantothenate and CoA biosynthesis",H02208,"Pantothenate kinase-associated neurodegeneration"
hsa00770,"Pantothenate and CoA biosynthesis",H02209,"HARP syndrome"
hsa00780,"Biotin metabolism",H00180,"Holocarboxylase synthetase deficiency"
hsa00780,"Biotin metabolism",H01182,"Biotinidase deficiency"
hsa04977,"Vitamin digestion and absorption",H01182,"Biotinidase deficiency"
hsa00790,"Folate biosynthesis",H00213,Hypophosphatasia
hsa00790,"Folate biosynthesis",H02311,"Molybdenum cofactor deficiency"
hsa00830,"Retinol metabolism",H00527,"Retinitis pigmentosa"
hsa00900,"Terpenoid backbone biosynthesis",H00527,"Retinitis pigmentosa"
hsa03040,Spliceosome,H00527,"Retinitis pigmentosa"
hsa04744,Phototransduction,H00527,"Retinitis pigmentosa"
hsa00830,"Retinol metabolism",H00825,"Familial flecked retina syndrome"
hsa04744,Phototransduction,H00825,"Familial flecked retina syndrome"
hsa00830,"Retinol metabolism",H01266,"Hypercarotenemia and vitamin A deficiency"
hsa00830,"Retinol metabolism",H02292,"Retinal dystrophy, juvenile cataracts, and short stature syndrome"
hsa00860,"Porphyrin and chlorophyll metabolism",H00201,"Erythropoietic porphyria"
hsa00860,"Porphyrin and chlorophyll metabolism",H00202,"Hepatic porphyria"
hsa00860,"Porphyrin and chlorophyll metabolism",H00208,Hyperbilirubinemia
hsa02010,"ABC transporters",H00208,Hyperbilirubinemia
hsa04976,"Bile secretion",H00208,Hyperbilirubinemia
hsa00860,"Porphyrin and chlorophyll metabolism",H01763,Porphyria
hsa00860,"Porphyrin and chlorophyll metabolism",H01936,Hyperbiliverdinemia
hsa00860,"Porphyrin and chlorophyll metabolism",H02054,"Crigler-Najjar syndrome"
hsa00860,"Porphyrin and chlorophyll metabolism",H02055,"Gilbert syndrome"
hsa00860,"Porphyrin and chlorophyll metabolism",H02206,Aceruloplasminemia
hsa04216,Ferroptosis,H02206,Aceruloplasminemia
hsa00900,"Terpenoid backbone biosynthesis",H00206,"Mevalonate kinase deficiency"
hsa00900,"Terpenoid backbone biosynthesis",H00663,"Restrictive dermopathy"
hsa00900,"Terpenoid backbone biosynthesis",H01933,Porokeratosis
hsa00920,"Sulfur metabolism",H01237,"Sulfite oxidase deficiency"
hsa00970,"Aminoacyl-tRNA biosynthesis",H00264,"Charcot-Marie-Tooth disease"
hsa00970,"Aminoacyl-tRNA biosynthesis",H00871,"Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation"
hsa00970,"Aminoacyl-tRNA biosynthesis",H00897,"Pontocerebellar hypoplasia"
hsa03015,"mRNA surveillance pathway",H00897,"Pontocerebellar hypoplasia"
hsa03018,"RNA degradation",H00897,"Pontocerebellar hypoplasia"
hsa00970,"Aminoacyl-tRNA biosynthesis",H00898,"Myopathy with lactic acidosis and sideroblastic anaemia"
hsa00970,"Aminoacyl-tRNA biosynthesis",H01351,"Spastic ataxia"
hsa00970,"Aminoacyl-tRNA biosynthesis",H01367,"Infantile liver failure"
hsa04122,"Sulfur relay system",H01367,"Infantile liver failure"
hsa00970,"Aminoacyl-tRNA biosynthesis",H02232,"CAGSSS syndrome"
hsa00982,"Drug metabolism",H01171,"Poor drug metabolism"
hsa00982,"Drug metabolism",H01205,"Coumarin resistance"
hsa00982,"Drug metabolism",H01234,Trimethylaminuria
hsa00983,"Drug metabolism",H00964,"Thiopurine S-methyltransferase deficiency (TPMT deficiency)"
hsa02010,"ABC transporters",H00152,Sitosterolemia
hsa02010,"ABC transporters",H00159,"Tangier disease"
hsa02010,"ABC transporters",H00176,Adrenoleukodystrophy
hsa04146,Peroxisome,H00176,Adrenoleukodystrophy
hsa02010,"ABC transporters",H00218,"Cystic fibrosis"
hsa02010,"ABC transporters",H00560,"Pseudoxanthoma elasticum"
hsa02010,"ABC transporters",H00733,"Harlequin ichthyosis"
hsa02010,"ABC transporters",H00930,Hypoalphalipoproteinemia
hsa03320,"PPAR signaling pathway",H00930,Hypoalphalipoproteinemia
hsa04975,"Fat digestion and absorption",H00930,Hypoalphalipoproteinemia
hsa04977,"Vitamin digestion and absorption",H00930,Hypoalphalipoproteinemia
hsa02010,"ABC transporters",H00984,"Bare lymphocyte syndrome type1"
hsa04145,Phagosome,H00984,"Bare lymphocyte syndrome type1"
hsa04612,"Antigen processing and presentation",H00984,"Bare lymphocyte syndrome type1"
hsa02010,"ABC transporters",H01033,"Congenital bilateral absence of vas deferens"
hsa02010,"ABC transporters",H01213,"Gallbladder disease"
hsa04975,"Fat digestion and absorption",H01213,"Gallbladder disease"
hsa04976,"Bile secretion",H01213,"Gallbladder disease"
hsa02010,"ABC transporters",H02056,"Dubin-Johnson syndrome"
hsa04976,"Bile secretion",H02056,"Dubin-Johnson syndrome"
hsa03008,"Ribosome biogenesis in eukaryotes",H00063,"Spinocerebellar ataxia (SCA)"
hsa04730,"Long-term depression",H00063,"Spinocerebellar ataxia (SCA)"
hsa03008,"Ribosome biogenesis in eukaryotes",H00439,"Shwachman-Diamond syndrome"
hsa03008,"Ribosome biogenesis in eukaryotes",H00507,"Dyskeratosis congenita"
hsa03008,"Ribosome biogenesis in eukaryotes",H00518,"Metaphyseal dysplasia without hypotrichosis"
hsa03008,"Ribosome biogenesis in eukaryotes",H00610,"Treacher Collins syndrome"
hsa03020,"RNA polymerase",H00610,"Treacher Collins syndrome"
hsa03008,"Ribosome biogenesis in eukaryotes",H00612,"Primary open angle glaucoma"
