identifier,name,M
DB01986,3-Fluoro-2-Methyl-Aniline,1
DB01987,Cocarboxylase,6
DB01988,6((S)-3-Benzylpiperazin-1-Yl)-3-(Naphthalen-2-Yl)-4-(Pyridin-4-Yl)Pyrazine,1
DB01989,"Methyl N-{[(1R)-1-({1-[(benzyloxy)carbonyl]-L-prolyl-6-ammonio-L-norleucyl}amino)-2-phenylethyl](hydroxy)phosphoryl}-L-alanyl-L-prolinate",1
DB01990,"Cholesterol sulfate",1
DB01991,TU-514,1
DB01992,"Coenzyme A",39
DB01993,N-(5'-Phosphopyridoxyl)-D-Alanine,1
DB01996,3-Methylpyridine,2
DB01997,3-Bromo-7-Nitroindazole,3
DB01998,"2-[3,4-Dihydroxy-2-Hydroxymethyl-5-(2-Hydroxy-Nonyl)-Tetrahydro-Furan-2-Yloxy]-6-Hydroxymethyl-Tetra Hydro-Pyran-3,4,5-Triol",1
DB02001,"5-(4-Morpholin-4-Yl-Phenylsulfanyl)-2,4-Quinazolinediamine",2
DB02004,"5-(Aminomethyl)-6-(2,4-Dichlorophenyl)-2-(3,5-Dimethoxyphenyl)Pyrimidin-4-Amine",1
DB02005,"2-Oxo-3-Pentenoic Acid",1
DB02007,"alpha-D-glucose 6-phosphate",9
DB02008,1-(2-Fluorobenzyl)-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine,1
DB02009,L-756423,1
DB02010,Staurosporine,13
DB02011,N-(Phosphonoacetyl)-L-Ornithine,1
DB02014,"5-(2-Fluoro-5-{(1E)-3-[3-hydroxy-2-(methoxycarbonyl)phenoxy]-1-propen-1-yl}phenyl)-1,2-oxazole-3-carboxylic acid",1
DB02015,"Dihydrofolic Acid",1
DB02016,R048-8071,1
DB02017,"Imidazole-Derived Cellobiose",1
DB02018,"Amido Phenyl Pyruvic Acid",1
DB02019,"Acetyl Dithranol",0
DB02020,Alrestatin,1
DB02021,Fidarestat,2
DB02022,4-Amino-5-Hydroxymethyl-2-Methylpyrimidine,2
DB02023,8-oxo-dGMP,1
DB02024,"3-phenylpropionic acid",2
DB02026,"Furo[2,3d]Pyrimidine Antifolate",1
DB02027,N-{(4S)-4-Amino-5-[(2-aminoethyl)amino]pentyl}-N'-nitroguanidine,2
DB02028,"(1R,2R,3S,4R,6S)-3,4,6-Trihydroxy-5-{[(S)-hydroxy(3-hydroxy-2-oxopropoxy)phosphoryl]oxy}-1,2-cyclohexanediyl bis[dihydrogen (phosphate)]",1
DB02029,N-Cyclohexyl-N'-(4-Iodophenyl)Urea,1
DB02030,Alpha-Ribazole-5'-Phosphate,1
DB02031,"(6S)-5,6,7,8-tetrahydrofolic acid",2
DB02032,Epicaptopril,4
DB02033,"N-(3-Cyclopropyl(5,6,7,8,9,10-Hexahydro-2-Oxo-2h-Cycloocta[B]Pyran-3-Yl)Methyl)Phenylbenzensulfonamide",1
DB02034,Tridolgosir,1
DB02035,"Hexadecanesulfonyl fluoride",1
DB02036,"2-(3,4-Dihydro-3-Oxo-2h-Benzo[B][1,4]Thiazin-2-Yl)-N-Hydroxyacetamide",1
DB02038,"D-[3-hydroxy-2-methyl-5-phosphonooxymethyl-pyridin-4-ylmethyl]-N,O-cycloserylamide",4
DB02039,S-Acetyl-Cysteine,3
DB02041,Isoluminol,1
DB02042,2-(2-{2-[2-(2-Methoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethanol,1
DB02043,"1,2-Dipalmitoyl-Phosphatidyl-Glycerole",1
DB02044,N-[3-(aminomethyl)benzyl]acetamidine,3
DB02045,Amylamine,1
DB02046,"N-[(Furan-2-Yl)Carbonyl]-(S)-Leucyl-(R)-[1-Amino-2(1h-Indol-3-Yl)Ethyl]-Phosphonic Acid",1
DB02047,"(+)-2-(4-biphenyl)propionic acid",1
DB02048,"1,2,4-Triazole-Carboxamidine",1
DB02049,2-{4-[4-(4-Chloro-Phenoxy)-Benzenesulfonyl]-Tetrahydro-Pyran-4-Yl}-N-Hydroxy-Acetamide,1
DB02051,"4-Nitrophenyl (3S)-3-({N-[(benzyloxy)carbonyl]-L-phenylalanyl}amino)-5-phenyl-1-pentanesulfonate",1
DB02052,Indirubin-3'-monoxime,6
DB02053,Ribose-5-phosphate,2
DB02054,Gabaculine,2
DB02056,"Prostaglandin D2",2
DB02057,(S)-AMPA,1
DB02058,3-[4-(1-formylpiperazin-4-yl)-benzylidenyl]-2-indolinone,2
DB02059,Adenosine-5-Diphosphoribose,9
DB02060,Cyclohexanone,0
DB02061,Cellobiose,3
DB02062,"N-[3-[(1-Aminoethyl)(Hydroxy)Phosphoryl]-2-(1,1'-Biphenyl-4-Ylmethyl)Propanoyl]Alanine",2
DB02063,CRA_16847,1
DB02065,4-Deoxylactose,0
DB02066,"N7-Methyl-Formycin A",1
DB02067,Triglu-5-formyl-tetrahydrofolate,1
DB02068,"Delta-Amino Valeric Acid",2
DB02069,N-(2-Flouro-Benzyl)-4-Sulfamoyl-Benzamide,1
DB02071,WAY-151693,1
DB02072,"2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Thiopyran-3-Carboxylic Acid",1
DB02073,"Biliverdine IX Alpha",3
DB02075,"[(2R,3R,4S,5S)-3,4-Dihydroxy-5-(4-oxo-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)-2-pyrrolidinyl]methyl dihydrogen phosphate",1
DB02076,"6-phospho-D-gluconic acid",3
DB02077,"L-N(omega)-nitroarginine-(4R)-amino-L-proline amide",2
DB02078,Triglyme,5
DB02079,"Aminooxyacetic acid",1
DB02080,"1-{2-[2-(2-Methoxyethoxy)Ethoxy]Ethoxy}-4-(1,1,3,3-Tetramethylbutyl)Benzene",2
DB02081,Bis-Benzamidine,1
DB02082,"Phosphoaminophosphonic acid guanylate ester",1
DB02083,"N,N-dimethylglycine",1
DB02084,CRA_17312,1
DB02085,"1-Aminocyclopropanecarboxylic Acid",1
DB02086,"(3,4-Dihydroxy-Phenyl)-Triphenyl-Arsonium",1
DB02087,"3,5-Difluorobenzenesulfonamide",1
DB02088,"Norleucine Phosphonate",1
DB02089,CP-526423,0
DB02090,"A Disubstituted Succinyl Caprolactam Hydroxymate Mmp3inhibitor",1
DB02091,"4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamine",2
DB02092,"Cholesteryl Linoleate",1
DB02093,"5-phospho-D-arabinohydroxamic acid",1
DB02094,"N-2-Thiophen-2-Yl-Acetamide Boronic Acid",1
DB02095,Isatin,1
DB02096,FR221647,1
DB02097,Cytidine,1
DB02098,Adenosine-2'-5'-Diphosphate,3
DB02101,"(S,R)-fidarestat",1
DB02102,Mozenavir,1
DB02103,2-Chlorodideoxyadenosine,1
DB02104,"2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine",1
DB02105,"3,5-Dinitrocatechol",1
DB02106,"[3,5-Dibromo-4-(4-Hydroxy-3-Phenethylcarbamoyl-Phenoxy)-Phenyl]-Acetic Acid",1
DB02107,"Leucine - Reduced Carbonyl",1
DB02108,"2-Aminoethanimidic Acid",1
DB02109,Hadacidin,3
DB02110,"Protoporphyrin Ix Containing Co",2
DB02111,"3-hydroxyisoxazole-4-carboxylic acid",1
DB02112,Zk-806450,1
DB02113,6-Methylpurine,1
DB02114,Cumidine,1
DB02115,Daidzin,1
DB02116,Olomoucine,4
DB02118,CP-271485,1
DB02119,"6-Hydroxymethyl-7,8-Dihydropterin",2
DB02120,"6-Amino-4-Hydroxymethyl-Cyclohex-4-Ene-1,2,3-Triol",5
DB02121,Butyramide,1
DB02122,"4-iodo-acetamido phenylboronic acid",2
DB02123,"Glycochenodeoxycholic Acid",1
DB02124,"(2s,3s)-Trans-2,3-Dihydro-3-Hydroxyanthranilic Acid",1
DB02125,Adamantanone,1
DB02126,"4-Carboxycinnamic Acid",2
DB02127,"Diisopropyl methylphosphonate",2
DB02128,"[1-(3-hydroxy-2-oxo-1-phenethyl-propylcarbamoyl)2-phenyl-ethyl]-carbamic acid pyridin-4-ylmethyl ester",1
DB02129,"Dihydroorotic Acid",1
DB02130,"Vanillic acid",1
DB02131,N-1-methylheptylformamide,1
DB02132,Zenarestat,1
DB02133,"Chlorophyll A",1
DB02134,Xanthine,2
DB02135,"1-deoxy-1-{2,6,8-trioxo-7-[4-(phosphonooxy)butyl]-1,2,3,6,7,8-hexahydro-9H-purin-9-yl}-D-arabinitol",1
DB02136,"Cephalosporin analog",1
DB02137,"Molybdenum cofactor",1
DB02138,"Diethyl 4-Methylbenzylphosphonate",2
DB02139,(2e)-N-Allyl-4-{[3-(4-Bromophenyl)-5-Fluoro-1-Methyl-1h-Indazol-6-Yl]Oxy}-N-Methyl-2-Buten-1-Amine,1
DB02140,N1-(1-Dimethylcarbamoyl-2-Phenyl-Ethyl)-2-Oxo-N4-(2-Pyridin-2-Yl-Ethyl)-Succinamide,1
DB02141,"S,S'-(1,4-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea",1
DB02142,Pyridoxamine-5'-Phosphate,10
DB02143,1-hydroxy-2-isopropylguanidine,1
DB02144,"1,2-diacyl-sn-glycero-3-phosphoinositol",1
DB02145,"Butyl alcohol",0
DB02147,Cyclo-Tetrametavanadate,1
DB02148,3-Amino-4-Oxybenzyl-2-Butanone,1
DB02151,"Methionine Phosphonate",2
DB02152,K-252a,2
DB02153,3-sulfino-L-alanine,10
DB02154,"2,3-Bis-Benzo[1,3]Dioxol-5-Ylmethyl-Succinic Acid",1
DB02155,"3-[(3-sec-butyl-4-hydroxybenzoyl)amino]azepan-4-yl 4-(2-hydroxy-5-methoxybenzoyl)benzoate",1
DB02158,"(2S,3S,4R,5S)-2-(4-Amino-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)-5-[(methylsulfanyl)methyl]-3,4-pyrrolidinediol",2
DB02159,"(R)-Propylene glycol",2
DB02160,S-Butyryl-Cystein,1
DB02161,"Hydroxy-Phenyl-Acetic Acid 8-Methyl-8-Aza-Bicyclo[3.2.1]Oct-3-Yl Ester",1
DB02162,5'-O-(N-Ethyl-Sulfamoyl)Adenosine,1
DB02163,"2,5-Xylidine",1
DB02164,"N-sulfo-flavin mononucleotide",1
DB02165,"Zinc trihydroxide",1
DB02166,Propidium,1
DB02168,6-bromopurine,0
DB02169,"9,10-Deepithio-9,10-Didehydroacanthifolicin",1
DB02170,"1,8-Di-Hydroxy-4-Nitro-Xanthen-9-One",1
DB02172,"2,5-Dideoxy-2,5-Imino-D-Glucitol",1
DB02174,D-Glutamine,1
DB02175,"Malonic acid",5
DB02177,1-Acetyl-4-(4-{4-[(2-Ethoxyphenyl)Thio]-3-Nitrophenyl}Pyridin-2-Yl)Piperazine,1
DB02178,Phenylacetaldehyde,1
DB02180,Myristoyl-Coa,2
DB02181,2'-Deoxyguanosine-5'-Triphosphate,2
DB02182,"Hybrid Between B and C Type Hemes (Protoporphyrin Ixcontaining Fe)",1
DB02183,Adenosine-5'-ditungstate,1
DB02184,"D-1,4-dithiothreitol",1
DB02185,"2,4-Dihydroxy-7-(Methyloxy)-2h-1,4-Benzoxazin-3(4h)-One",1
DB02186,"N-Acetyl-D-Galactosamine 6-Sulfate",2
DB02187,Equilin,2
DB02188,"N-Methylmesoporphyrin Containing Copper",1
DB02189,"2',3'-Dideoxyadenosine triphosphate",1
DB02190,"(S)-oxalosuccinic acid",1
DB02191,"(7as,12ar,12bs)-1,2,3,4,7a,12,12a,12b-Octahydroindolo[2,3-a]Quinolizin-7(6h)-One",2
DB02192,"Phenylethyl alcohol",1
DB02195,"3-(4-Fluorophenyl)-1-Hydroxy-2-(Pyridin-4-Yl)-1h-Pyrrolo[3,2-B]Pyridine",1
DB02196,Uridine-Diphosphate-N-Acetylgalactosamine,6
DB02197,"4-[(4-Imidazo[1,2-a]Pyridin-3-Ylpyrimidin-2-Yl)Amino]Benzenesulfonamide",1
DB02198,"2-Bromoacetyl Group",1
DB02200,3-[N-[benzyloxycarbonyl]-phenylalaninyl-amino]-5-phenyl-pentane-1-sulfonylmethylbenzene,1
DB02201,"Malonate Ion",2
DB02205,"(+)-Rutamarin alcohol",2
DB02207,7-Nitroindazole,2
DB02209,"Pyridoxine phosphate",2
DB02210,"Hexane-1,6-Diol",5
DB02211,(R)-N-methyl-N-2-propynyl-1-indanamine,1
DB02213,Metanitrophenyl-Alpha-D-Galactoside,2
DB02214,"6,7-dioxo-5H-8-ribitylaminolumazine",1
DB02215,Furoyl-Leucine,1
DB02216,S-Methylcysteine,2
DB02217,Dpb-T,1
DB02218,"N-[4-hydroxymethyl-cyclohexan-6-yl-1,2,3-triol]-4,6-dideoxy-4-aminoglucopyranoside",2
DB02220,AL7089A,1
DB02221,"4-(Aminosulfonyl)-N-[(2,4,6-Trifluorophenyl)Methyl]-Benzamide",1
DB02222,"2,6-Diamino-(S)-9-[2-(Phosphonomethoxy)Propyl]Purine",1
DB02223,"LY231514 tetra glu",1
DB02225,"1,2-Di-N-Pentanoyl-Sn-Glycero-3-Dithiophosphocholine",1
DB02226,"3,8-Diamino-6-Phenyl-5-[6-[1-[2-[(1,2,3,4-Tetrahydro-9-Acridinyl)Amino]Ethyl]-1h-1,2,3-Triazol-4-Yl]Hexyl]-Phenanthridinium",1
DB02227,"4,5-Dihydroxy-Tetrahydro-Pyran-2-Carboxylic Acid",0
DB02228,2-deoxy-2-fluoro-β-D-galactose,1
DB02229,5'-O-[(L-methionyl)-sulphamoyl]adenosine,1
DB02230,Immucillin-G,1
DB02232,"1,2-Dihydroxybenzene",2
DB02233,6-hydroxy-D-norleucine,1
DB02234,S-Ethylisothiourea,3
DB02235,"L-methionine (R)-S-oxide",2
DB02236,"Glycinamide Ribonucleotide",3
DB02237,Maltotetraose,2
DB02238,"4-methylthio-2-oxobutanoic acid",0
DB02239,"Laevulinic Acid",1
DB02240,"Quinacrine mustard",1
DB02242,"Cyclohexanepropanoic acid",1
DB02243,"4-Morpholin-4-Yl-Piperidine-1-Carboxylic Acid [1-(3-Benzenesulfonyl-1-Propyl-Allylcarbamoyl)-2-Phenylethyl]-Amide",1
DB02247,"Hydrolyzed Cephalothin",1
DB02249,2-Ethoxyethanol,1
DB02251,O-Succinylbenzoate,1
DB02252,Iodobenzene,1
DB02253,"(1r)-4-[(1e,3e,5e,7z,9e,11z,13e,15e)-17-Hydroxy-3,7,12,16-Tetramethylheptadeca-1,3,5,7,9,11,13,15-Octaen-1-Yl]-3,5,5-Trimethylcyclohex-3-En-1-Ol",1
DB02254,"Trifluoro-thiamin phosphate",1
DB02255,Ilomastat,3
DB02256,2'-Deoxyuridine,2
DB02257,"N-Bromoacetyl-Aminoethyl Phosphate",1
DB02258,SR11254,1
DB02259,"3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid (4-Sulfamoyl-Phenyl)-Amide",1
DB02260,"4-Oxosebacic Acid",2
DB02261,"Platelet Activating Factor",2
DB02262,"Orotic acid",5
DB02263,Glyceraldehyde-3-Phosphate,3
DB02264,"O2-Sulfo-Glucuronic Acid",4
DB02265,Ethyl-Trimethyl-Silane,1
DB02266,"Flufenamic acid",6
DB02267,Argininosuccinate,2
DB02268,"4-(Acetylamino)-3-Amino Benzoic Acid",1
DB02269,[4-({[5-Benzyloxy-1-(3-Carbamimidoyl-Benzyl)-1h-Indole-2-Carbonyl]-Amino}-Methyl)-Phenyl]-Trimethyl-Ammonium,1
DB02270,"Dimethylallyl S-Thiolodiphosphate",3
DB02271,S-(2-oxo)pentadecylcoa,1
DB02272,Porphobilinogen,1
DB02274,"7-Keto-8-Aminopelargonic Acid",1
DB02276,(S)-2-(Phosphonoxy)Caproyl-L-Leucyl-P-Nitroanilide,1
DB02277,1-(5-Tert-Butyl-2-Methyl-2h-Pyrazol-3-Yl)-3-(4-Chloro-Phenyl)-Urea,1
DB02278,"7,8-dihydro-7,7-dimethyl-6-hydroxypterin",1
DB02279,"Benzoylformic Acid",1
DB02280,"(R)-Mandelic acid",2
DB02281,Formycin,2
DB02282,5'-S-methyl-5'-thioadenosine,2
DB02283,"2-Phenylamino-Ethanesulfonic Acid",1
DB02285,Protoporphyrin,1
DB02287,2-(2-hydroxy-phenyl)-3H-benzoimidazole-5-carboxamidine,3
DB02288,CRA-9334,1
DB02289,"2-Aminopropanedioic Acid",1
DB02290,"3-{2,6,8-trioxo-9-[(2S,3S,4R)-2,3,4,5-tetrahydroxypentyl]-1,2,3,6,8,9-hexahydro-7H-purin-7-Yl}propyl dihydrogen phosphate",1
DB02292,Irosustat,2
DB02294,"(5R,6S,7S,8S)-5-hydroxymethyl-6,7,8-trihydroxy-tetrazolo[1,5-A]piperidine",1
DB02296,"Isoamyl alcohol",1
DB02297,2-Amino-6-Chloropyrazine,1
DB02299,Arginineamide,1
DB02300,Calcipotriol,1
DB02301,"5,10-Methylene-6-Hydrofolic Acid",3
DB02302,"Symmetric dimethylarginine",0
DB02303,"(5S)-5-Iododihydro-2,4(1H,3H)-pyrimidinedione",1
DB02305,"4,5-Dehydro-D-Glucuronic Acid",1
DB02306,"Palmitoyl-Linoleoyl Phosphatidylcholine",1
DB02307,N-(1-carboxy-3-phenylpropyl)phenylalanyl-alpha-asparagine,1
DB02308,"4-(1,3,2-Dioxaborolan-2-Yloxy)Butan-1-Aminium",1
DB02309,"5-monophosphate-9-beta-D-ribofuranosyl xanthine",2
DB02310,"3,5,6,8-Tetramethyl-N-Methyl Phenanthrolinium",1
DB02311,"Methyl Methylsulfinylmethyl Sulfide",1
DB02312,"beta-D-galactose 6-phosphate",1
DB02313,"Ethyl (4R)-4-{[(2R,5S)-2-(4-fluorobenzyl)-6-methyl-5-{[(5-methyl-1,2-oxazol-3-yl)carbonyl]amino}-4-oxoheptanoyl]amino}-5-[(3S)-2-oxo-3-pyrrolidinyl]pentanoate",1
DB02314,Uridine-5'-Diphosphate-N-Acetylmuramoyl-L-Alanine-D-Glutamate,2
DB02315,"Cyclic GMP",3
DB02316,"1-(5-Carboxypentyl)-5-[(2,6-Dichlorobenzyl)Oxy]-1 H-Indole-2-Carboxylic Acid",1
DB02317,Alpha-D-Galactose-1-Phosphate,1
DB02318,"2-deoxy-2-fluoro-alpha-D-mannosyl fluoride",1
DB02319,"5,6-dihydroxy-NADP",1
DB02320,N-beta-D-glucopyranosylacetamide,1
DB02321,"5-(3-Amino-4,4-Dihyroxy-Butylsulfanylmethyl)-Tetrahydro-Furan-2,3,4-Triol",1
DB02322,"Heparin Disaccharide I-S",1
DB02323,EM-1745,1
DB02324,5-Iodo-2'-Deoxyuridine-5'-Monophosphate,1
DB02326,"1-Hydroxyamine-2-Isobutylmalonic Acid",1
DB02327,"Triethylene glycol",3
DB02328,"2-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Imino]-5-Phosphono-Pent-3-Enoic Acid",1
DB02329,Carbenoxolone,2
DB02331,"(2s)-2-[(5-Benzofuran-2-Yl-Thiophen-2-Ylmethyl)-(2,4-Dichloro-Benzoyl)-Amino]-3-Phenyl-Propionic Acid",1
DB02332,"Flavin-N7 protonated-adenine dinucleotide",1
DB02333,Deoxyuridine-5'-Triphosphate,5
DB02334,"(R)-2-Hydroxy-3-Sulfopropanoic Acid",1
DB02335,2-Aminothiazoline,1
DB02336,RU83876,1
DB02337,S-(D-Carboxybutyl)-L-Homocysteine,1
DB02338,NADPH,6
DB02339,Allyl-{6-[3-(4-Bromo-Phenyl)-Benzofuran-6-Yloxy]-Hexyl-}-Methyl-Amin,1
DB02340,N-Acetyl-Serine,1
DB02341,"Mdl 101,146",2
DB02342,2-Methoxyestradiol,5
DB02343,"3,6,9,12,15-Pentaoxaheptadecane",3
DB02345,Selenocysteine,4
DB02346,3'-O-N-Octanoyl-a-D-Glucopyranosyl-B-D-Fructofuranoside,1
DB02347,"2-Amino-3-(5-Tert-Butyl-3-(Phosphonomethoxy)-4-Isoxazolyl)Propionic Acid",1
DB02348,"Monofluorophosphate ion",1
DB02350,"N-Hydroxy-4-[(4-Methoxylphenyl)Sulfonyl]-2,2-Dimethyl-Hexahydro-1,4-Thiazepine-3(S)-Carboxamide",1
DB02352,3-(Benzyloxy)Pyridin-2-Amine,2
DB02353,"Heparin Disaccharide Iii-S",1
DB02354,4-{[1-Methyl-5-(2-Methyl-Benzoimidazol-1-Ylmethyl)-1h-Benzoimidazol-2-Ylmethyl]-Amino}-Benzamidine,1
DB02355,Adenosine-5'-Rp-Alpha-Thio-Triphosphate,0
DB02358,LY374571,1
DB02359,"9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine",1
DB02360,"Bis-Napthyl Beta-Ketophosphonic Acid",1
DB02361,"S-Methyl Thiocysteine Group",1
DB02362,"Aminobenzoic acid",2
DB02363,2'-Monophosphoadenosine-5'-Diphosphate,3
DB02364,"2-Amino-3-(Diethoxy-Phosphoryloxy)-Propionic Acid",1
DB02365,"1,10-Phenanthroline",2
DB02366,CRA_10762,1
DB02367,(1n)-4-N-Butoxyphenylsulfonyl-(2r)-N-Hydroxycarboxamido-(4s)-Methanesulfonylamino-Pyrrolidine,1
DB02368,N-Acetyl-L-Citrulline,1
DB02370,Nz-(1-Carboxyethyl)-Lysine,1
DB02371,"2-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Ethanesulfonic Acid",1
DB02373,"Adenosine monotungstate",1
DB02374,"Xylose-Derived Imidazole",1
DB02375,Myricetin,2
DB02376,"D-gluconhydroximo-1,5-lactam",1
DB02377,Guanine,4
DB02378,MMI-175,1
DB02379,Beta-D-Glucose,76
DB02381,nor-NOHA,1
DB02382,Namn,2
DB02383,Tolrestat,3
DB02384,(E)-2-Fluoro-P-Hydroxycinnamate,1
DB02386,"Leucine Phosphonic Acid",2
DB02388,"Cyclohexyl-{4-[5-(3,4-Dichlorophenyl)-2-Piperidin-4-Yl-3-Propyl-3h-Imidazol-4-Yl]-Pyrimidin-2-Yl}Amine",1
DB02391,"2-Amino-7-[2-(2-Hydroxy-1-Hydroxymethyl-Ethylamino)-Ethyl]-1,7-Dihydro-Purin-6-One",1
DB02393,"D-Gluco-2,5-Anhydro-1-Deoxy-1-Phosphonohexitol-6-Phosphate",1
DB02394,Oxiranpseudoglucose,1
DB02395,"3-Hydroxymethyl-5-Aziridinyl-1methyl-2-[1h-Indole-4,7-Dione]-Propanol",1
DB02396,Methylethylamine,1
DB02398,6-[N-(4-(Aminomethyl)Phenyl)Carbamyl]-2-Naphthalenecarboxamidine,1
DB02399,L-Rhamnitol,1
DB02400,ES-936,1
DB02401,"4-Hydroxy-1,2,5-oxadiazole-3-carboxylic acid",2
DB02402,"5-(4-Methoxyphenoxy)-2,4-Quinazolinediamine",2
DB02403,2-Fluoroaniline,1
DB02404,"1-Deoxy-1-Thio-Heptaethylene Glycol",1
DB02405,"12-Bromododecanoic Acid",1
DB02406,"N-Valeric Acid",0
DB02407,"6-O-Cyclohexylmethyl Guanine",2
DB02408,"(3s)-3-Amino-1-(Cyclopropylamino)Heptane-2,2-Diol",2
DB02410,"2-Acetyl-3-[(4-Amino-2-Methyl-5-Pyrimidinyl)Methyl]-4-Methyl-5-(4,6,6-Trihydroxy-3,5-Dioxa-4,6-Diphosphahex-1-Yl)Thiazolium Inner Salt P,P'-Dioxide",1
DB02411,"2-(11-{2-[Benzenesulfonyl-(3-Methyl-Butyl)-Amino]-1-Hydroxy-Ethyl}-6,9-Dioxo-2-Oxa-7,10-Diaza-Bicyclo[11.2.2]Heptadeca-1(16),13(17),14-Trien-8-Yl)-Acetamide, Inhibitor 2",1
DB02413,Hydroxyethylcysteine,1
DB02414,Cyclo(his-pro),1
DB02415,"N-Octyl-2-Hydroxyethyl Sulfoxide",2
DB02418,"(R,R)-2,3-Butanediol",1
DB02419,"Ethyl Oxo(Piperidin-1-Yl)Acetate",1
DB02420,"[[4-(Aminomethyl)Phenyl]Amino]Oxo-Acetic Acid,",1
DB02421,Uridine-5'-diphosphate-mannose,1
DB02422,Methyl-2-S-(Alpha-D-Mannopyranosyl)-2-Thio-Alpha-D-Mannopyranoside,1
DB02424,Geldanamycin,3
DB02425,"Hexadecyl Octanoate",1
DB02426,Carboxyatractyloside,1
DB02427,"2,4-Diamino-6-[N-(2',5'-Dimethoxybenzyl)-N-Methylamino]Quinazoline",2
DB02428,"Quinaldic Acid",1
DB02429,4-(Aminosulfonyl)-N-[(4-Fluorophenyl)Methyl]-Benzamide,1
DB02430,Trehalose-6-Phosphate,1
DB02431,Cytidine-5'-Triphosphate,8
DB02432,RU90395,1
DB02433,"{[(2,2-Dihydroxy-Ethyl)-(2,3,4,5-Tetrahydroxy-6-Phosphonooxy-Hexyl)-Amino]-Methyl}-Phosphonic Acid",2
DB02434,"4-(2-Thienyl)Butyric Acid",1
DB02435,Aminomethylcyclohexane,2
DB02436,"{4-[(2S)-2-({[(1S)-1-Carboxy-2-phenylethyl]carbamoyl}amino)-3-oxo-3-(pentylamino)propyl]phenoxy}malonic acid",1
DB02437,"(5r)-5-Amino-6-Hydroxyhexylcarbamic Acid",3
DB02438,"3-O-Methylfructose in Linear Form",1
DB02441,"2-Butyl-5,6-Dihydro-1h-Imidazo[4,5-D]Pyridazine-4,7-Dione",1
DB02442,Dioxyselenocysteine,1
DB02443,"Methicillin Acyl-Serine",1
DB02445,"2-Deoxy-2-Amino Glucitol-6-Phosphate",3
DB02446,"Glutamine hydroxamate",1
DB02447,"3,8,9,10-tetrahydroxy-7-hydroxymethyl-6-oxa-1,3-diaza-spiro[4.5]decane-2,4-dione",1
DB02448,"N-Tridecanoic Acid",3
DB02449,"3-(1h-Indol-3-Yl)-2-[4-(4-Phenyl-Piperidin-1-Yl)-Benzenesulfonylamino]-Propionic Acid",1
DB02450,"2-Benzo[1,3]Dioxol-5-Ylmethyl-3-Benzyl-Succinic Acid",1
DB02451,B-nonylglucoside,13
DB02452,"Thymidine 5'-triphosphate",9
DB02453,"Antimonous acid",1
DB02456,"Aracytidine 5'-monophosphate",1
DB02457,"Undecyl-Phosphinic Acid Butyl Ester",1
DB02458,"S-(2,4-dinitrophenyl)glutathione",2
DB02459,"4-guanidinobenzoic acid",1
DB02460,"Hydrogenobyrinic acid",1
DB02461,"S-Methyl Phosphocysteine",1
DB02462,Thiocoumarin,1
DB02463,2-(2-Hydroxy-Phenyl)-1h-Indole-5-Carboxamidine,1
DB02464,Benzylamine,2
DB02465,"Methoxy arachidonyl fluorophosphonate",1
DB02466,BMS-181156,1
DB02467,"L-methionine (S)-S-oxide",4
DB02468,12-Phenylheme,1
DB02469,"4,6-dideoxy-4-amino-beta-D-glucopyranoside",1
DB02470,D-Glycero-D-Mannopyranose-7-Phosphate,1
DB02471,"Nojirimycine Tetrazole",3
DB02472,"7,8-dihydroinosine",1
DB02473,"6-[N-(1-Isopropyl-3,4-Dihydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine",1
DB02474,BMSC-0013,1
DB02475,"Deoxyamidinoproclavaminic acid",1
DB02477,N-({4-[4-(2-Methyl-1H-imidazol-1-yl)butyl]phenyl}acetyl)-L-seryl-N-(2-cyclohexylethyl)-L-lysinamide,1
DB02479,(R)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide,1
DB02480,"(S)-4-bromo-3-hydroxy-3-methylbutyl diphosphate",1
DB02481,N-Benzylformamide,1
DB02482,Phosphonothreonine,10
DB02483,Etheno-NAD,2
DB02484,"Cytidine 5'-diphosphoglycerol",1
DB02485,"Cytidine-5'-Monophosphate-5-N-Acetylneuraminic Acid",1
DB02486,"2-Hydroxyethyl Disulfide",2
DB02489,9-Methylguanine,1
